"tls","tms","trs","mls","mms","mrs","bls","bms","brs","class"
"x","o",NA,"o",NA,"b","x",NA,NA,"positive"
"x","x","x",NA,NA,"o","o",NA,NA,"positive"
"x","x",NA,"b","x","x","o","o","o","negative"
"b","b","o",NA,NA,"o","x","b",NA,"negative"
"b","b","b","o",NA,"o","x","x",NA,"positive"
"x","x",NA,NA,NA,"o","x","o","o","positive"
"x","o","b",NA,"x","o","o","b","x","positive"
"x","x",NA,"o",NA,"o","b",NA,NA,"negative"
"o","x","b","b","x","b","b","x","o","positive"
"b","x",NA,NA,NA,"x","o","o","x","positive"
"o","o",NA,"x","x","b","o","x","x","negative"
"o","b","x",NA,NA,"x","b","x",NA,"negative"
"b","x",NA,"o",NA,"o","b","x","x","negative"
"b","x","o","o","b","o","x","x","x","positive"
"x","o",NA,NA,"x","o","x","x",NA,"negative"
"b","b","o",NA,NA,"b","o",NA,NA,"negative"
"o","x","o",NA,NA,"b","x",NA,NA,"positive"
"o","b",NA,NA,NA,"o","x","x",NA,"positive"
"o","x",NA,"o","x","b","b","x",NA,"positive"
"x","b",NA,NA,"o","o","x","o","x","negative"
"b","x",NA,NA,"x","x","o","o",NA,"positive"
"x","o",NA,"o","b","x","o",NA,"x","positive"
"x","o","x","o","o","x","b",NA,NA,"positive"
"b","o",NA,"b",NA,"o","x",NA,"x","positive"
"x","x",NA,NA,NA,"b","o","o","x","positive"
"o","x","x",NA,"o","x","b",NA,NA,"positive"
"x","x",NA,"o",NA,"o","x",NA,NA,"positive"
"b","o","x","o",NA,"o","x","x","x","positive"
"b","x",NA,NA,"x","x","o",NA,"o","positive"
"x","b",NA,NA,"o","b","x","b",NA,"positive"
"x","x",NA,NA,"x","b","o",NA,"o","negative"
"x","o",NA,"x",NA,"x","b",NA,"o","positive"
"b","o","b",NA,NA,"b","x","x","x","positive"
"b","o",NA,"x",NA,"x","b",NA,"b","positive"
"o","o","x","x","x","x","o","b",NA,"positive"
"b","x","o",NA,NA,"x","o",NA,NA,"negative"
"o","b","x",NA,NA,"x","o",NA,"x","positive"
"x","o",NA,NA,"x","x","x",NA,"x","positive"
"x","b","b",NA,NA,"o","o",NA,NA,"positive"
"x","x",NA,"x",NA,"o","o",NA,"x","positive"
"b","b",NA,NA,"o","o","x","b","x","negative"
"x","o",NA,"b",NA,"o","x",NA,"x","negative"
"x","x",NA,"o",NA,"b","o","o",NA,"positive"
"x","b","x",NA,"b","o","x","o","o","positive"
"o","b","b","x","x","x","b",NA,NA,"positive"
"x","x","b",NA,"o","o","x","o",NA,"positive"
"o","b","x","o","o","x","x","b","x","positive"
"x","x","x",NA,NA,"b","o","b","b","positive"
"o","x","b","o","b","b","o","x","x","negative"
"x","b",NA,NA,NA,"b","o","o",NA,"negative"
"x","o",NA,"x",NA,"b","x",NA,NA,"positive"
"x","o","o",NA,"x","o","x","b","b","positive"
"o","x",NA,NA,NA,"o","x",NA,"x","positive"
"o","x","x","o","x","b","o",NA,NA,"negative"
"x","o",NA,"b","x","b","o","o",NA,"positive"
"x","o","o",NA,NA,"x","o","x",NA,"positive"
"x","o","o",NA,NA,"b","x",NA,"o","positive"
"o","x",NA,NA,"x","o","o",NA,NA,"positive"
"x","b","o","x",NA,"b","o","b","x","negative"
"x","o","o","b",NA,"o","x","b","x","positive"
"o","x",NA,"x",NA,"x","o","b",NA,"positive"
"x","x",NA,"b",NA,"o","x",NA,NA,"negative"
"o","o",NA,"b",NA,"x","x","o","x","positive"
"b","o",NA,NA,"o","x","b","o","b","negative"
"x","b","o","o","x","o","x",NA,NA,"negative"
"b","o",NA,"b","b","x","o","b","x","positive"
"o","x",NA,NA,NA,"o","b","x",NA,"positive"
"x","x","o",NA,NA,"x","o","o",NA,"positive"
"x","b",NA,NA,"b","o","x","b","b","positive"
"o","x",NA,"x","x","x","o",NA,"x","positive"
"b","b",NA,NA,NA,"x","o","o",NA,"negative"
"o","x","x","o",NA,"b","x",NA,NA,"positive"
"b","x",NA,"o",NA,"b","x",NA,"x","positive"
"o","x","o",NA,NA,"x","o",NA,NA,"positive"
"x","x","o","o","o","o","x","x",NA,"negative"
"x","x","b","x",NA,"x","o","o","o","negative"
"b","b",NA,NA,NA,"x","o","b","x","positive"
"o","b","x","o",NA,"b","o","x","b","negative"
"b","b","o","x",NA,"x","b","b",NA,"positive"
"x","b","o",NA,"o","x","o","o","x","negative"
"x","b","o","x","x","o","x",NA,"b","positive"
"o","b","x","b",NA,"x","o",NA,NA,"positive"
"x","o",NA,NA,NA,"x","o","o",NA,"negative"
"x","o",NA,NA,NA,"o","x",NA,"o","positive"
"o","b",NA,NA,NA,"b","x","o","b","positive"
"o","o","x","o","b","x","x",NA,"x","positive"
"o","o",NA,"x","o","x","x",NA,"x","negative"
"x","x",NA,"b","o","x","b","o","o","positive"
"b","b",NA,"x","x","x","o",NA,NA,"positive"
"o","o",NA,"b","b","x","x","x",NA,"negative"
"x","x","x",NA,NA,"o","b",NA,NA,"positive"
"x","x",NA,NA,"x","b","b","x","o","positive"
"b","x",NA,"o","x","o","x",NA,"b","positive"
"x","x","o","x","o","o","x","b",NA,"positive"
"x","x",NA,"o",NA,"b","o","o","b","positive"
"x","x",NA,"o",NA,"o","o","x","x","negative"
"o","x","o","o","x","x","o",NA,NA,"negative"
"b","o","x",NA,"b","x","o","x",NA,"positive"
"x","x",NA,NA,NA,"b","x","o","o","positive"
"o","b",NA,NA,"x","x","o",NA,NA,"positive"
"x","x","o","x",NA,"b","x",NA,"o","positive"
"x","x","o",NA,"x","b","o",NA,NA,"positive"
"x","x","x",NA,"x","o","b","o",NA,"positive"
"b","b",NA,NA,NA,"x","o","o",NA,"positive"
"b","x","o",NA,"x","b","x",NA,"o","positive"
"o","b","b",NA,NA,"x","x",NA,"o","positive"
"o","b","o","x","x","x","o",NA,NA,"positive"
"x","x",NA,"o",NA,"x","o","b",NA,"negative"
"o","b",NA,"x",NA,"x","x","o","b","positive"
"x","x","o",NA,"x","b","o","x",NA,"positive"
"o","x",NA,"o",NA,"x","o",NA,NA,"negative"
"b","x",NA,NA,NA,"b","o",NA,NA,"positive"
"b","x",NA,NA,"o","x","o","o",NA,"negative"
"x","x","x","x",NA,"b","b",NA,NA,"positive"
"o","x",NA,NA,"x","o","x","o","b","positive"
"o","o","x","b",NA,"o","x",NA,"b","positive"
"o","x",NA,NA,"x","b","x",NA,NA,"positive"
"x","o",NA,NA,"x","x","b",NA,"x","positive"
"o","o","x","x",NA,"x","x","b","o","negative"
"o","o","x",NA,NA,"x","b",NA,"x","positive"
"o","x",NA,"x",NA,"b","o",NA,"o","negative"
"x","o",NA,NA,"x","b","o","b","x","positive"
"o","b","x",NA,NA,"x","b",NA,NA,"positive"
"o","x",NA,"x","o","x","x","b","o","negative"
"x","b","o","x",NA,"o","x","b",NA,"positive"
"x","b","o",NA,NA,"x","o",NA,NA,"negative"
"o","b",NA,"x",NA,"o","x",NA,"x","positive"
"x","x","o",NA,NA,"o","b",NA,"o","negative"
