"tls","tms","trs","mls","mms","mrs","bls","bms","brs","class"
"o","b","x","o","o","x","x","b","x","positive"
"x","x","x","o","b","b","o","b","b","positive"
"o","x","b","o","b","b","o","x","x","negative"
"x","b",NA,"x","x","b","o","o",NA,"negative"
"x","o",NA,"x","x","b","x","o",NA,"positive"
"x","o","o","x","x","o","x","b","b","positive"
"o","x",NA,"o","x","o","x","x","x","positive"
"o","x","x","o","x","b","o","o",NA,"negative"
"x","o",NA,"b","x","b","o","o",NA,"positive"
"x","o","o","x","x","x","o","x",NA,"positive"
"x","o","o","x","b","b","x","x","o","positive"
"o","x",NA,"x","x","o","o","x",NA,"positive"
"x","b","o","x","o","b","o","b","x","negative"
"x","o","o","b","x","o","x","b","x","positive"
"o","x",NA,"x","x","x","o","b",NA,"positive"
"x","x",NA,"b","o","o","x","x",NA,"negative"
"o","o",NA,"b","b","x","x","o","x","positive"
"b","o",NA,"x","o","x","b","o","b","negative"
"x","b","o","o","x","o","x","x",NA,"negative"
"b","o",NA,"b","b","x","o","b","x","positive"
"o","x",NA,"o","x","o","b","x",NA,"positive"
"x","x","o","o","x","x","o","o",NA,"positive"
"x","b",NA,"x","b","o","x","b","b","positive"
"o","x",NA,"x","x","x","o","o","x","positive"
"b","b",NA,"b","x","x","o","o",NA,"negative"
"o","x","x","o","x","b","x","o",NA,"positive"
"b","x",NA,"o","o","b","x","x","x","positive"
"o","x","o","b","x","x","o","x",NA,"positive"
"x","x","o","o","o","o","x","x",NA,"negative"
"x","x","b","x","o","x","o","o","o","negative"
"b","b",NA,"b","o","x","o","b","x","positive"
"o","b","x","o","x","b","o","x","b","negative"
"b","b","o","x","x","x","b","b",NA,"positive"
"x","b","o","x","o","x","o","o","x","negative"
"x","b","o","x","x","o","x","o","b","positive"
"o","b","x","b","o","x","o","x",NA,"positive"
"x","o",NA,"b","x","x","o","o",NA,"negative"
"x","o",NA,"x","x","o","x","b","o","positive"
"o","b",NA,"b","x","b","x","o","b","positive"
"o","o","x","o","b","x","x","b","x","positive"
"o","o",NA,"x","o","x","x","o","x","negative"
"x","x",NA,"b","o","x","b","o","o","positive"
"b","b",NA,"x","x","x","o","x",NA,"positive"
"o","o",NA,"b","b","x","x","x",NA,"negative"
"x","x","x","o","b","o","b","o",NA,"positive"
"x","x",NA,"o","x","b","b","x","o","positive"
"b","x",NA,"o","x","o","x","o","b","positive"
"x","x","o","x","o","o","x","b",NA,"positive"
"x","x",NA,"o","x","b","o","o","b","positive"
"x","x",NA,"o","o","o","o","x","x","negative"
"o","x","o","o","x","x","o","b",NA,"negative"
"b","o","x","o","b","x","o","x",NA,"positive"
"x","x",NA,"b","o","b","x","o","o","positive"
"o","b",NA,"x","x","x","o","o",NA,"positive"
"x","x","o","x","b","b","x","o","o","positive"
"x","x","o","b","x","b","o","x",NA,"positive"
"x","x","x","b","x","o","b","o",NA,"positive"
"b","b",NA,"o","x","x","o","o",NA,"positive"
"b","x","o","o","x","b","x","x","o","positive"
"o","b","b","x","x","x","x","o","o","positive"
"o","b","o","x","x","x","o","b",NA,"positive"
"x","x",NA,"o","o","x","o","b",NA,"negative"
"o","b",NA,"x","x","x","x","o","b","positive"
"x","x","o","o","x","b","o","x",NA,"positive"
"o","x",NA,"o","o","x","o","x",NA,"negative"
"b","x",NA,"x","x","b","o","x",NA,"positive"
"b","x",NA,"x","o","x","o","o",NA,"negative"
"x","x","x","x","o","b","b","o",NA,"positive"
"o","x",NA,"b","x","o","x","o","b","positive"
"o","o","x","b","x","o","x","x","b","positive"
"o","x",NA,"o","x","b","x","x",NA,"positive"
"x","o",NA,"o","x","x","b","b","x","positive"
"o","o","x","x","o","x","x","b","o","negative"
"o","o","x","o","x","x","b","b","x","positive"
"o","x",NA,"x","o","b","o","x","o","negative"
"x","o",NA,"o","x","b","o","b","x","positive"
"o","b","x","o","x","x","b","o",NA,"positive"
"o","x",NA,"x","o","x","x","b","o","negative"
"x","b","o","x","o","o","x","b",NA,"positive"
"x","b","o","x","o","x","o","x",NA,"negative"
"o","b",NA,"x","o","o","x","x","x","positive"
"x","x","o","x","x","o","b","o","o","negative"
