"F1","F2","F3","F4","F5","F6","F7","F8","class"
"M",NA,0.4,0.135,0.723,0.377,0.149,NA,"A"
"I",0.605,0.47,0.145,0.8025,NA,0.2265,NA,"B"
"I",0.575,0.45,0.145,0.795,NA,0.1505,0.26,"B"
"F",0.63,0.495,0.145,1.147,NA,0.266,NA,"B"
"F",0.49,NA,0.135,0.6125,0.2555,0.102,NA,"C"
"I",0.44,0.355,0.12,0.495,0.231,0.11,0.125,"A"
"F",NA,0.52,0.2,1.5475,NA,0.314,NA,"B"
"F",NA,NA,0.175,1.2075,0.5105,0.262,NA,"B"
"I",NA,0.45,0.135,0.8245,NA,0.2115,NA,"C"
"M",NA,0.435,0.165,0.9955,0.3245,0.2665,0.325,"C"
"F",NA,NA,0.145,1.2515,NA,0.2925,NA,"C"
"I",0.355,0.28,0.11,0.2235,NA,0.0525,0.08,"A"
"I",0.35,NA,0.08,0.17,0.0725,0.0465,0.0495,"A"
"M",0.655,NA,0.18,1.402,NA,0.2935,0.365,"C"
"F",0.655,NA,0.185,1.759,NA,0.313,NA,"C"
"F",NA,NA,0.125,0.6985,NA,0.1625,NA,"B"
"F",NA,0.565,0.205,2.1275,NA,0.46,NA,"C"
"F",0.505,NA,0.15,0.6345,NA,0.1335,0.215,"C"
"M",0.57,0.45,0.14,0.795,NA,0.148,NA,"B"
"F",0.72,NA,0.225,1.969,NA,0.423,NA,"C"
"I",0.56,NA,0.135,0.72,NA,0.103,0.251,"C"
"I",0.375,0.28,0.08,0.2025,NA,0.048,0.065,"A"
"M",0.695,0.56,0.19,1.494,NA,0.3425,0.485,"C"
"F",0.7,NA,0.185,1.8075,NA,0.3215,NA,"C"
"F",NA,0.47,0.14,0.871,0.385,0.211,NA,"B"
"M",0.515,NA,0.14,0.678,NA,0.1325,NA,"A"
"M",0.575,0.46,0.155,0.892,0.4415,0.176,0.22,"B"
"F",NA,NA,0.205,1.8165,NA,0.4395,NA,"C"
"I",0.455,0.355,0.125,0.5325,0.225,0.126,NA,"A"
"F",0.645,NA,0.17,1.197,0.526,0.2925,NA,"C"
"M",NA,NA,0.165,1.1735,NA,0.285,0.316,"C"
"I",NA,NA,0.125,0.6545,NA,0.139,0.21,"B"
"I",0.365,NA,0.085,0.196,0.0825,0.0375,NA,"A"
"M",0.675,NA,0.2,1.4385,NA,0.2665,0.465,"C"
"I",0.55,0.425,0.135,0.7305,NA,0.1545,NA,"B"
"I",0.525,NA,0.13,0.6445,0.345,0.1285,0.2,"A"
"F",0.66,NA,0.175,1.5175,NA,0.3125,NA,"C"
"I",NA,0.29,0.09,0.2625,NA,0.054,NA,"A"
"M",0.285,NA,0.075,0.106,NA,0.023,NA,"A"
"M",0.63,NA,0.15,1.1315,0.481,0.2745,NA,"B"
"M",NA,NA,0.135,0.9025,0.3805,0.2105,0.28,"C"
"M",NA,0.455,0.145,1.073,0.475,0.19,0.285,"C"
"M",NA,0.565,0.175,1.9525,NA,0.4185,NA,"B"
"I",NA,NA,0,0.428,NA,0.086,NA,"A"
"F",NA,NA,0.175,1.907,NA,0.4565,0.475,"C"
"F",0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,"B"
"F",0.605,NA,0.155,1.1,NA,0.2665,NA,"B"
"M",NA,NA,0.155,0.8855,NA,0.188,NA,"B"
"I",0.495,0.375,0.12,0.614,0.2855,0.1365,NA,"A"
"M",NA,NA,0.165,1.0855,0.481,0.2575,NA,"B"
"I",0.56,0.44,0.17,0.9445,NA,0.2175,NA,"C"
"F",0.56,0.445,0.155,1.224,0.5565,0.3225,NA,"B"
"I",0.57,0.435,0.17,0.848,0.4,0.166,NA,"B"
"F",NA,0.41,0.135,0.657,NA,0.133,NA,"C"
"I",0.425,NA,0.1,0.371,0.15,0.0865,0.115,"A"
"I",0.425,NA,0.115,0.3265,0.1315,0.077,0.103,"A"
"M",0.6,0.46,0.18,1.14,NA,0.2575,0.365,"B"
"I",0.67,NA,0.175,1.2565,NA,0.322,NA,"B"
"M",NA,0.585,0.195,1.647,NA,0.331,0.471,"C"
"I",NA,NA,0.085,0.2505,NA,0.061,NA,"A"
"I",0.42,0.325,0.11,0.325,0.1245,0.0755,NA,"A"
"F",NA,NA,0.2,1.3235,NA,0.3055,NA,"B"
"I",NA,NA,0.13,0.6015,NA,0.11,NA,"A"
"M",0.47,0.36,0.135,0.501,0.1665,0.115,NA,"B"
"M",0.635,NA,0.185,1.4065,0.684,0.3,NA,"B"
"M",0.345,0.255,0.08,0.169,NA,0.0425,0.054,"B"
"I",0.425,NA,0.095,0.3075,NA,0.0745,0.093,"A"
"M",NA,0.4,0.14,0.7205,0.3685,0.145,NA,"A"
"M",0.545,NA,0.14,0.7505,0.2475,0.13,NA,"C"
"I",NA,NA,0.065,0.0685,0.0245,0.0155,NA,"A"
"I",0.425,NA,0.095,0.3675,NA,0.0675,0.0985,"A"
"F",0.45,NA,0.125,0.4995,NA,0.1,0.17,"C"
"I",0.295,0.21,0.08,0.1,0.038,0.026,0.031,"A"
"M",NA,0.495,0.16,1.093,0.497,0.221,0.315,"C"
"I",NA,0.42,0.16,0.7095,NA,0.1505,NA,"A"
"F",0.475,NA,0.13,0.4805,NA,0.114,NA,"C"
"F",0.635,0.495,0.195,1.297,NA,0.2985,NA,"C"
"M",NA,0.505,0.16,1.2585,NA,0.311,0.308,"C"
"F",0.57,0.46,0.17,1.1,0.4125,0.2205,NA,"C"
"I",0.205,NA,0.045,0.0495,NA,0.011,NA,"A"
"F",NA,NA,0.175,1.0165,NA,0.214,0.325,"B"
"F",0.67,0.515,0.17,1.4265,NA,0.3395,0.37,"C"
"M",0.565,0.455,0.155,0.9355,0.421,0.183,NA,"C"
"F",0.49,0.37,0.115,0.541,0.171,0.1175,NA,"C"
"M",0.575,NA,0.135,0.9215,NA,0.209,NA,"B"
"F",NA,0.51,0.165,1.486,NA,0.332,NA,"A"
"M",NA,NA,0.13,0.5225,NA,0.133,NA,"A"
"I",0.325,0.25,0.08,0.1735,NA,0.0345,NA,"A"
"F",0.605,NA,0.175,1.382,NA,0.2325,NA,"B"
"M",0.36,0.295,0.1,0.2105,NA,0.0525,NA,"B"
"F",NA,0.445,0.155,1.017,NA,0.2025,0.265,"B"
"M",0.565,NA,0.155,0.868,0.348,0.217,NA,"C"
"M",NA,0.34,0.125,0.4495,NA,0.1125,0.144,"C"
"M",NA,0.375,0.14,0.5105,0.192,0.1045,NA,"B"
"M",0.68,0.52,0.175,1.543,NA,0.351,NA,"C"
"M",0.55,0.46,0.13,0.7085,NA,0.1455,0.205,"C"
"M",0.595,NA,0.185,1.1785,NA,0.2975,NA,"B"
"I",0.655,0.515,0.145,1.25,NA,0.283,NA,"C"
"M",NA,NA,0.115,0.4265,0.1685,0.0755,NA,"A"
"M",NA,NA,0.14,1.013,0.38,0.216,NA,"C"
"M",NA,NA,0.16,1.0765,NA,0.253,0.3,"C"
"M",NA,NA,0.215,1.747,NA,0.403,NA,"C"
"I",NA,0.465,0.195,1.0885,0.3685,0.187,0.375,"C"
"M",NA,NA,0.13,0.7715,0.37,0.16,NA,"A"
"M",0.33,NA,0.09,0.197,NA,0.041,0.0605,"B"
"M",NA,NA,0.155,1.2,NA,0.32,0.292,"A"
"M",0.62,NA,0.145,1.003,0.4655,0.2195,NA,"C"
"I",NA,0.34,0.1,0.382,0.164,0.096,0.1,"A"
"F",0.71,0.575,0.175,1.555,NA,0.3705,NA,"C"
"M",NA,0.535,0.155,1.3845,0.6615,0.2145,NA,"B"
"M",NA,0.475,0.155,0.857,NA,0.174,0.28,"C"
"I",0.58,0.445,0.15,0.8865,NA,0.209,NA,"C"
"M",0.485,NA,0.125,0.4775,NA,0.0785,0.17,"C"
"M",NA,0.445,0.145,0.9255,NA,0.212,NA,"B"
"F",NA,NA,0.155,1.115,NA,0.277,0.3095,"B"
"M",0.585,NA,0.15,0.906,NA,0.23,0.2335,"A"
"M",NA,0.355,0.16,0.464,0.221,0.106,0.239,"A"
"F",0.595,0.495,0.235,1.366,0.5065,0.219,0.52,"C"
"I",NA,0.28,0.08,0.2345,NA,0.0455,0.067,"A"
"I",NA,0.42,0.115,0.668,0.2925,0.137,0.209,"C"
"I",NA,NA,0.07,0.106,NA,0.0285,NA,"A"
"M",0.68,NA,0.195,1.4535,NA,0.391,NA,"B"
"I",NA,NA,0.12,0.365,NA,0.083,0.11,"A"
"I",NA,0.245,0.085,0.1435,NA,0.0475,0.05,"A"
"F",0.475,NA,0.14,0.689,NA,0.1315,0.1955,"A"
"M",NA,0.505,0.185,1.978,NA,0.4255,NA,"C"
"I",0.47,NA,0.105,0.441,NA,0.0865,0.145,"B"
"I",NA,0.24,0.09,0.1455,NA,0.0315,NA,"A"
"F",NA,0.38,0.125,0.549,0.245,0.1075,NA,"B"
"I",NA,0.34,0.125,0.4895,0.1735,0.0875,0.2,"C"
"I",0.61,NA,0.155,1.0485,0.507,0.1955,0.274,"C"
"M",0.62,NA,0.175,1.2815,0.5715,0.2385,NA,"B"
"M",0.515,NA,0.14,0.769,0.2505,0.154,0.29,"C"
"M",NA,0.51,0.19,1.542,NA,0.3735,NA,"B"
"M",NA,NA,0.135,0.992,NA,0.2225,0.239,"B"
"M",0.6,NA,0.19,1.0875,0.403,0.2655,NA,"C"
"F",0.72,NA,0.195,2.1505,NA,0.382,NA,"B"
"M",NA,NA,0.195,1.859,NA,0.426,0.441,"B"
"I",NA,NA,0.105,0.362,NA,0.0795,0.1095,"A"
"M",NA,0.515,0.16,1.016,0.4215,0.244,NA,"C"
"M",NA,0.5,0.175,1.286,NA,0.288,0.386,"C"
"M",NA,NA,0.125,0.8965,0.383,0.1835,NA,"B"
"F",NA,NA,0.185,1.286,0.526,0.295,NA,"C"
"I",0.465,0.355,0.105,0.442,NA,0.0975,0.1185,"A"
"I",NA,NA,0.11,0.334,NA,0.0775,0.0965,"A"
"I",0.16,NA,0.025,0.0195,NA,0.005,NA,"A"
"I",0.375,0.285,0.09,0.257,NA,0.062,NA,"A"
"F",NA,0.375,0.145,0.5885,0.2385,0.1155,0.19,"C"
"F",0.71,NA,0.18,1.652,NA,0.381,NA,"C"
"I",0.315,0.235,0.075,0.1285,NA,0.028,0.0405,"A"
"F",NA,0.44,0.12,0.803,0.382,0.1525,0.234,"B"
"F",0.525,NA,0.15,0.7155,NA,0.171,0.27,"C"
"I",0.49,NA,0.115,0.683,NA,0.1615,0.165,"C"
"F",NA,NA,0.195,1.2735,0.469,0.3315,NA,"C"
"F",0.57,0.435,0.14,0.8085,NA,0.183,NA,"C"
"I",NA,0.4,0.125,0.5625,0.25,0.1245,NA,"A"
"F",NA,0.48,0.17,1.056,NA,0.2435,0.3135,"B"
"F",0.665,0.51,0.175,1.3805,0.675,0.2985,NA,"B"
"F",NA,NA,0.175,1.1075,0.4485,0.2165,NA,"A"
"M",NA,0.35,0.13,0.46,0.174,0.111,0.135,"A"
"M",NA,NA,0.215,1.9125,NA,0.4385,NA,"B"
"M",NA,0.485,0.175,1.2445,0.544,0.297,NA,"C"
"I",NA,NA,0.13,0.6025,0.2935,0.1285,NA,"A"
"F",0.565,0.44,0.16,0.915,0.354,0.1935,0.32,"C"
"F",NA,NA,0.09,0.207,NA,0.0435,NA,"B"
"M",NA,NA,0.18,1.7405,NA,0.347,NA,"B"
"M",0.58,0.45,0.12,0.8685,NA,0.1475,NA,"A"
"I",NA,NA,0.09,0.1465,NA,0.034,0.0415,"A"
"F",0.515,0.415,0.14,0.6935,NA,0.152,0.2,"B"
"M",NA,NA,0.11,0.4385,0.2075,0.0715,0.1315,"A"
"M",0.61,NA,0.165,1.244,NA,0.257,NA,"C"
"M",0.595,0.475,0.14,1.0305,NA,0.217,0.278,"B"
"F",NA,0.225,0.07,0.1485,0.0585,0.0335,0.045,"A"
"F",NA,NA,0.165,1.166,0.483,0.238,NA,"C"
"F",0.53,0.425,0.17,0.949,0.3485,0.2395,NA,"C"
"M",NA,NA,0.185,0.9265,NA,0.1575,0.375,"C"
"I",NA,NA,0.17,1.178,0.3935,0.2165,0.315,"C"
"I",NA,NA,0.125,0.6255,0.2525,0.158,0.19,"A"
"F",0.385,0.3,0.1,0.2725,0.1115,0.057,NA,"A"
"F",NA,NA,0.15,1.1845,0.533,0.307,0.291,"B"
"M",NA,NA,0.08,0.1915,NA,0.0385,0.063,"B"
"M",0.705,NA,0.515,2.21,NA,0.4865,0.512,"B"
"M",0.455,NA,0.11,0.458,NA,0.111,NA,"A"
"M",NA,0.485,0.15,1.0835,NA,0.231,0.276,"A"
"M",NA,0.525,0.205,1.4275,NA,0.306,NA,"C"
"I",NA,NA,0.14,0.5995,NA,0.1375,NA,"C"
"M",NA,0.38,0.13,0.656,0.227,0.1785,NA,"C"
"F",0.675,0.535,0.185,1.5575,NA,0.402,0.4,"C"
"M",NA,NA,0.165,1.207,NA,0.235,0.309,"B"
"M",NA,NA,0.185,1.169,NA,0.2535,0.344,"C"
"M",0.53,NA,0.125,0.7575,NA,0.151,NA,"A"
"I",NA,NA,0.11,0.32,NA,0.044,0.093,"A"
"F",0.575,0.465,0.195,0.9965,NA,0.247,NA,"A"
"I",NA,NA,0.145,0.751,0.2825,0.2195,NA,"B"
"M",0.505,0.385,0.145,0.6775,NA,0.179,0.2,"C"
"F",0.59,0.47,0.17,0.9,NA,0.1905,NA,"C"
"F",NA,NA,0.11,1.136,NA,0.1915,0.2925,"B"
"F",0.5,NA,0.15,0.5965,NA,0.126,0.185,"C"
"M",NA,NA,0.12,0.646,NA,0.1365,0.172,"B"
"M",NA,0.555,0.2,1.858,0.73,0.3665,NA,"C"
"M",NA,NA,0.155,1.0295,NA,0.2315,NA,"C"
"F",NA,0.54,0.21,1.593,NA,0.318,NA,"C"
"M",NA,NA,0.12,0.4935,NA,0.1175,0.132,"A"
"M",0.525,0.41,0.165,0.8005,NA,0.1985,NA,"C"
"I",NA,0.45,0.17,0.9315,0.358,0.2145,NA,"C"
"I",0.575,0.475,0.17,0.967,0.3775,0.284,NA,"C"
"F",0.495,0.37,0.12,0.594,NA,0.11,NA,"A"
"F",0.52,0.46,0.15,1.019,NA,0.1985,NA,"A"
"F",NA,0.495,0.16,1.3105,NA,0.3315,0.355,"B"
"M",0.385,NA,0.1,0.3175,NA,0.068,NA,"A"
"M",0.72,NA,0.19,2.0885,NA,0.478,NA,"C"
"M",0.49,0.385,0.125,0.609,NA,0.096,NA,"A"
"F",0.635,0.515,0.19,1.3715,NA,0.305,0.45,"B"
"M",0.61,0.475,0.155,1.168,NA,0.239,NA,"B"
"M",NA,0.485,0.175,1.145,NA,0.27,NA,"C"
"I",NA,0.275,0.085,0.22,NA,0.06,0.15,"A"
"I",0.365,0.27,0.085,0.197,0.0815,0.0325,0.065,"A"
"M",NA,0.22,0.085,0.146,NA,0.0365,NA,"A"
"I",NA,0.435,0.145,0.6975,NA,0.1575,NA,"C"
"M",NA,0.325,0.095,0.3785,0.1705,0.08,0.1,"A"
"F",NA,0.365,0.115,0.5885,0.318,0.121,0.1325,"A"
"M",0.69,0.525,0.175,1.7005,NA,0.362,NA,"A"
"I",NA,NA,0.135,0.8205,NA,0.185,0.236,"B"
"M",NA,NA,0.19,1.5905,0.6425,0.297,NA,"B"
"I",0.395,0.295,0.1,0.293,NA,0.062,0.082,"A"
"F",0.595,NA,0.165,1.081,NA,0.2525,NA,"C"
"I",NA,NA,0,0.134,NA,0.0285,NA,"A"
"M",NA,0.35,0.105,0.393,0.13,0.063,0.165,"B"
"M",0.32,0.24,0.085,0.17,NA,0.047,0.049,"A"
"I",0.315,0.21,0.06,0.125,0.06,0.0375,0.035,"A"
"M",NA,NA,0.16,0.955,NA,0.176,NA,"C"
"I",0.415,0.325,0.1,0.385,NA,0.08,NA,"A"
"I",NA,NA,0.12,0.596,NA,0.12,0.1695,"B"
"F",0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,"C"
"F",NA,0.325,0.105,0.38,NA,0.0785,NA,"C"
"M",0.575,NA,0.185,1.156,0.5525,0.243,NA,"C"
"I",0.58,NA,0.14,0.8295,0.3915,0.165,NA,"B"
"F",NA,0.46,0.135,0.926,NA,0.208,0.275,"A"
"M",NA,0.565,0.2,2.1055,NA,0.363,NA,"C"
"M",NA,0.49,0.165,1.205,0.5175,0.3105,NA,"B"
"I",NA,NA,0.06,0.099,0.0445,0.017,0.03,"A"
"I",0.235,NA,0.075,0.1585,NA,0.037,NA,"A"
"M",NA,0.515,0.16,1.2345,0.618,0.2625,NA,"C"
"F",NA,0.51,0.2,1.6075,NA,0.339,NA,"C"
"I",NA,0.41,0.14,0.6625,NA,0.1555,NA,"C"
"F",NA,0.385,0.125,0.5395,0.2175,0.128,NA,"C"
"M",0.62,NA,0.2,0.858,NA,0.1525,0.2405,"A"
"F",NA,NA,0.17,1.614,NA,0.345,0.45,"C"
"I",0.46,NA,0.11,0.4,NA,0.083,NA,"A"
"F",0.57,NA,0.15,0.8295,NA,0.156,NA,"B"
"F",NA,0.38,0.12,0.573,NA,0.1285,NA,"A"
"I",0.44,NA,0.135,0.522,NA,0.0905,0.195,"C"
"F",NA,0.51,0.15,1.456,NA,0.2875,NA,"C"
"M",0.56,0.44,0.16,1.1115,0.5035,0.2785,NA,"B"
"F",0.525,0.41,0.135,0.7905,NA,0.198,0.177,"A"
"F",0.645,0.505,0.165,1.4325,NA,0.308,NA,"A"
"I",0.47,NA,0.13,0.466,NA,0.099,0.145,"C"
"I",0.405,0.31,0.11,0.91,0.416,0.2075,NA,"A"
"I",0.34,0.265,0.08,0.2015,NA,0.0475,NA,"A"
"I",0.58,0.42,0.14,0.701,NA,0.102,NA,"B"
"M",NA,NA,0.145,1.3645,NA,0.3405,0.385,"C"
"F",NA,0.425,0.155,0.7765,0.302,0.1565,0.25,"C"
"F",0.58,NA,0.15,0.858,NA,0.156,0.253,"A"
"F",NA,0.435,0.14,0.745,0.347,0.174,0.2265,"B"
"M",NA,NA,0.18,1.261,0.5,0.2335,NA,"B"
"M",NA,0.34,0.135,0.495,0.1655,0.117,0.185,"B"
"F",NA,NA,0.175,1.35,0.575,0.3155,NA,"B"
"F",NA,NA,0.145,1.1155,0.5045,0.238,0.315,"B"
"F",0.595,0.465,0.155,1.026,NA,0.112,NA,"C"
"I",NA,0.24,0.075,0.152,0.065,0.0305,NA,"A"
"F",0.75,NA,0.235,2.5085,NA,0.519,NA,"C"
"M",NA,NA,0.18,1.68,NA,0.2975,NA,"C"
"F",NA,0.42,0.14,0.8035,NA,0.1805,0.21,"B"
"I",NA,NA,0.155,0.8725,NA,0.2095,NA,"A"
"F",0.335,0.22,0.07,0.17,NA,0.0365,0.05,"A"
"F",0.65,NA,0.155,1.122,0.545,0.228,NA,"B"
"I",NA,NA,0.065,0.101,0.041,0.021,NA,"A"
"F",NA,NA,0.215,1.938,NA,0.4825,NA,"C"
"M",0.595,NA,0.14,0.944,0.3625,0.189,NA,"B"
"I",NA,0.27,0.09,0.1855,0.07,0.0425,NA,"A"
"I",NA,0.265,0.135,0.2215,0.105,0.047,NA,"A"
"M",NA,NA,0.1,0.381,NA,0.075,NA,"B"
"F",NA,NA,0.185,1.528,0.69,0.3025,NA,"C"
"F",NA,NA,0.14,0.766,NA,0.1725,NA,"C"
"I",NA,0.375,0.12,0.487,NA,0.099,0.135,"A"
"F",NA,NA,0.165,1.1765,0.488,0.244,0.345,"C"
"M",NA,0.55,0.18,1.6915,0.6655,0.402,0.5,"C"
"F",0.625,0.485,0.16,1.254,NA,0.259,NA,"B"
"I",NA,NA,0.08,0.1755,0.081,0.0505,NA,"A"
"I",0.43,NA,0.105,0.4405,NA,0.0745,NA,"A"
"M",NA,NA,0.155,1.025,0.46,0.1945,0.34,"B"
"M",0.55,0.44,0.16,0.985,0.4645,0.201,0.27,"A"
"F",NA,0.415,0.15,0.8115,0.3875,0.1875,0.2035,"B"
"M",NA,NA,0.2,1.3765,0.44,0.3075,0.47,"C"
"I",NA,0.34,0.125,0.384,NA,0.061,0.146,"C"
"I",NA,0.35,0.11,0.514,0.253,0.1045,0.14,"A"
"M",0.635,0.48,0.19,1.467,0.5825,0.303,0.42,"C"
"M",NA,NA,0.18,1.247,0.5475,0.2925,NA,"B"
"F",0.46,NA,0.13,0.639,0.3,0.1525,0.16,"C"
"F",NA,NA,0.125,0.4785,0.206,0.1045,0.141,"A"
"M",NA,0.47,0.155,1.1735,NA,0.233,0.2595,"B"
"I",0.35,NA,0.07,0.18,0.0655,0.048,0.054,"A"
"M",NA,NA,0.04,0.0245,0.0095,0.0045,0.008,"A"
"F",NA,NA,0.165,0.869,NA,0.197,0.238,"B"
"M",0.615,0.525,0.155,1.1375,0.367,0.236,0.37,"C"
"M",NA,NA,0.14,0.4625,NA,0.076,0.15,"C"
"I",0.575,NA,0.13,0.805,NA,0.2155,NA,"B"
"M",NA,NA,0.18,1.529,NA,0.3115,NA,"C"
"I",0.435,0.345,0.12,0.4475,NA,0.112,0.125,"A"
"M",NA,0.31,0.11,0.314,0.138,0.057,NA,"C"
"F",NA,0.425,0.13,0.717,NA,0.166,0.255,"C"
"F",0.61,0.48,0.175,1.0675,0.391,0.216,0.42,"C"
"M",0.515,NA,0.135,0.7225,0.295,0.1625,NA,"B"
"F",NA,NA,0.185,1.541,0.5985,0.395,NA,"B"
"M",0.61,0.48,0.15,1.1495,NA,0.274,NA,"A"
"I",0.46,0.345,0.105,0.449,0.196,0.0945,NA,"A"
"M",NA,NA,0.215,1.891,NA,0.4725,NA,"C"
"F",0.7,0.575,0.205,1.773,NA,0.447,NA,"C"
"I",0.485,0.355,0.105,0.498,NA,0.096,0.1525,"B"
"I",0.485,NA,0.115,0.457,0.1885,0.0965,0.15,"B"
"I",NA,0.175,0.065,0.0645,NA,0.0105,NA,"A"
"I",NA,NA,0.05,0.057,0.026,0.013,NA,"A"
"I",0.53,0.415,0.145,0.944,0.3845,0.185,NA,"C"
"M",0.445,NA,0.14,0.476,0.2055,0.1015,NA,"C"
"M",NA,0.465,0.15,0.919,0.4335,0.1765,NA,"B"
"F",0.655,0.46,0.16,1.494,NA,0.331,0.1825,"B"
"M",0.6,NA,0.17,1.1805,NA,0.337,NA,"C"
"M",NA,NA,0.12,0.6835,0.3125,0.1655,NA,"A"
"I",0.5,0.39,0.12,0.5955,NA,0.147,0.173,"A"
"M",NA,0.28,0.1,0.252,NA,0.0595,NA,"A"
"I",NA,NA,0.06,0.0925,0.039,0.021,NA,"A"
"I",NA,NA,0.11,0.3885,NA,0.0835,NA,"A"
"M",0.575,0.47,0.15,0.9785,NA,0.196,NA,"B"
"M",NA,NA,0.125,0.635,NA,0.1555,NA,"B"
"M",0.72,0.56,0.18,1.5865,0.691,0.375,NA,"C"
"F",0.47,NA,0.115,0.487,0.1955,0.127,NA,"A"
"I",NA,NA,0.09,0.1925,0.077,0.038,0.065,"A"
"I",0.515,NA,0.14,0.5555,0.2,0.1135,0.2235,"C"
"M",NA,NA,0.115,0.521,NA,0.096,NA,"A"
"F",0.58,0.435,0.14,0.953,0.475,0.2165,NA,"B"
"I",0.31,NA,0.07,0.1245,NA,0.0265,NA,"A"
"F",NA,0.525,0.18,1.3695,0.634,0.318,0.363,"C"
"I",NA,NA,0.125,0.657,0.2985,0.1505,0.168,"B"
"F",0.65,NA,0.155,1.189,NA,0.278,NA,"C"
"M",NA,0.46,0.15,1.049,NA,0.1935,NA,"B"
"F",0.645,NA,0.17,1.1345,NA,0.254,0.305,"B"
"I",0.36,NA,0.095,0.217,0.084,0.0435,0.09,"A"
"M",0.59,0.49,0.135,1.008,0.422,0.2245,NA,"C"
"I",0.575,0.455,0.18,0.8525,NA,0.1825,NA,"C"
"F",NA,NA,0.15,1.0305,NA,0.218,0.36,"A"
"I",0.48,NA,0.1,0.461,0.2205,0.0835,0.135,"A"
"I",0.43,0.315,0.095,0.378,0.175,0.08,NA,"A"
"F",NA,NA,0.15,1.151,NA,0.239,NA,"B"
"I",NA,0.235,0.055,0.151,NA,0.027,NA,"A"
"M",0.565,NA,0.175,1.122,0.393,0.2,0.375,"C"
"M",0.67,0.55,0.17,1.247,NA,0.2455,NA,"C"
"I",NA,0.285,0.095,0.2275,NA,0.0475,0.0715,"A"
"M",0.5,NA,0.135,0.6765,0.302,0.1415,NA,"B"
"M",NA,0.485,0.155,1.0785,0.4535,0.2435,NA,"B"
"M",NA,NA,0.12,0.397,0.1985,0.0865,NA,"A"
"F",0.65,0.51,0.185,1.375,0.531,0.384,0.3985,"B"
"M",NA,0.42,0.155,1.008,NA,0.193,NA,"C"
"M",0.395,0.28,0.08,0.266,0.0995,0.066,0.09,"C"
"F",NA,0.425,0.13,0.782,0.3695,0.1745,NA,"A"
"F",0.395,0.315,0.105,0.3515,NA,0.091,0.1195,"C"
"I",0.37,NA,0.095,0.2865,0.1505,0.069,NA,"A"
"I",0.525,0.39,0.105,0.567,NA,0.1075,0.16,"A"
"F",0.64,NA,0.175,1.3185,NA,0.302,NA,"B"
"M",NA,0.265,0.085,0.201,NA,0.053,NA,"A"
"F",NA,NA,0.12,0.445,NA,0.0995,0.155,"A"
"M",NA,0.455,0.15,0.886,NA,0.201,NA,"B"
"F",0.46,0.375,0.12,0.4915,NA,0.088,NA,"A"
"F",0.61,0.485,0.165,1.0915,NA,0.2435,0.33,"C"
"M",0.505,NA,0.125,0.642,NA,0.133,NA,"B"
"M",NA,NA,0.165,1.2715,0.4915,0.185,NA,"C"
"I",0.59,0.445,0.135,0.7715,0.328,0.1745,NA,"B"
"I",NA,NA,0.025,0.0345,0.011,0.0075,NA,"A"
"M",0.555,0.435,0.135,0.858,NA,0.1585,0.29,"C"
"M",NA,0.41,0.13,0.56,NA,0.1065,0.175,"A"
"I",0.47,0.37,0.14,0.4985,NA,0.1225,NA,"B"
"F",NA,NA,0.18,1.445,NA,0.3215,NA,"A"
"M",0.515,NA,0.145,0.8815,0.292,0.206,NA,"B"
"M",0.59,NA,0.16,0.9455,0.3815,0.184,NA,"C"
"M",0.595,0.49,0.185,1.185,NA,0.2015,NA,"B"
"I",NA,NA,0.105,0.361,NA,0.0665,NA,"A"
"M",0.58,NA,0.15,1.0165,NA,0.221,NA,"B"
"I",0.36,NA,0.09,0.1785,NA,0.037,0.075,"A"
"M",0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,"C"
"M",NA,NA,0.12,0.817,NA,0.153,0.195,"B"
"F",0.625,0.475,0.16,1.3335,NA,0.2875,0.319,"B"
"I",NA,0.27,0.09,0.2055,NA,0.0575,NA,"A"
"F",0.64,0.475,0.14,1.0725,NA,0.2295,NA,"A"
"F",0.645,0.49,0.16,1.1665,NA,0.3155,NA,"B"
"M",NA,NA,0.09,0.2265,NA,0.0575,NA,"A"
"F",NA,NA,0.19,1.4545,NA,0.3865,NA,"B"
"M",0.64,NA,0.155,1.1955,NA,0.211,NA,"C"
"I",NA,0.215,0.06,0.0935,NA,0.023,0.03,"A"
"F",NA,0.575,0.2,1.7365,NA,0.3965,0.461,"C"
"F",NA,NA,0.125,0.768,NA,0.1495,0.26,"C"
"I",0.51,0.38,0.115,0.5155,NA,0.1135,NA,"A"
"M",0.56,0.425,0.135,0.9415,0.509,0.2015,NA,"B"
"M",0.58,NA,0.165,0.927,NA,0.1985,0.315,"C"
"F",0.55,0.425,0.14,0.952,0.4895,0.1945,NA,"A"
"I",0.53,0.42,0.185,0.752,NA,0.156,0.205,"C"
"F",0.645,NA,0.15,1.212,0.515,0.2055,NA,"B"
"M",0.475,0.355,0.12,0.48,0.234,0.1015,0.135,"A"
"I",NA,0.355,0.125,0.499,NA,0.0985,NA,"A"
"F",0.47,NA,0.145,0.5175,0.187,0.1235,0.18,"C"
"I",NA,0.445,0.15,0.8225,NA,0.187,NA,"B"
"I",NA,NA,0.11,0.47,NA,0.0855,0.1135,"A"
