F1	F2	F3	F4	F5	F6	F7	F8	class
M	0.545	0.435	0.165	0.9955	0.3245	0.2665	0.325	C
F	0.595	0.485	0.145	1.2515	0.5035	0.2925	0.33	C
I	0.355	0.28	0.11	0.2235	0.0815	0.0525	0.08	A
I	0.35	0.235	0.08	0.17	0.0725	0.0465	NA	A
M	0.655	0.525	0.18	1.402	0.624	0.2935	0.365	C
F	0.655	0.545	0.185	1.759	0.6865	0.313	NA	C
F	0.52	0.41	0.125	0.6985	0.2945	0.1625	0.215	B
F	0.735	0.565	0.205	2.1275	0.949	0.46	0.565	C
F	0.505	0.41	0.15	0.6345	0.243	0.1335	NA	C
M	0.57	0.45	0.14	0.795	0.3385	0.148	0.245	B
F	0.72	0.595	0.225	1.969	0.8045	0.423	NA	C
I	0.56	0.435	0.135	0.72	0.329	0.103	0.251	C
I	0.375	0.28	0.08	0.2025	0.0825	0.048	0.065	A
M	0.695	0.56	0.19	1.494	0.588	0.3425	0.485	C
F	0.7	0.585	0.185	1.8075	0.7055	0.3215	0.475	C
F	0.57	0.47	0.14	0.871	0.385	0.211	NA	B
M	0.515	0.39	0.14	0.678	0.341	0.1325	0.119	A
M	0.575	0.46	0.155	0.892	0.4415	0.176	0.22	B
F	0.69	0.555	0.205	1.8165	0.7785	0.4395	NA	C
I	0.455	0.355	0.125	0.5325	0.225	0.126	0.1465	A
F	0.645	0.52	0.17	1.197	0.526	0.2925	0.317	C
M	0.67	0.515	0.165	1.1735	0.526	0.285	0.316	C
I	0.565	0.43	0.125	0.6545	0.2815	0.139	0.21	B
I	0.365	0.27	0.085	0.196	0.0825	0.0375	0.06	A
M	0.675	0.555	0.2	1.4385	0.545	0.2665	0.465	C
I	0.55	0.425	0.135	0.7305	0.3325	0.1545	0.215	B
I	0.525	0.4	0.13	0.6445	0.345	0.1285	0.2	A
F	0.66	0.535	0.175	1.5175	0.711	0.3125	0.415	C
I	0.39	0.29	0.09	0.2625	0.117	0.054	NA	A
M	0.285	0.215	0.075	0.106	0.0415	0.023	0.035	A
M	0.63	0.455	0.15	1.1315	0.481	0.2745	0.305	B
M	0.555	0.44	0.135	0.9025	0.3805	0.2105	NA	C
M	0.59	0.455	0.145	1.073	0.475	0.19	0.285	C
M	0.715	0.565	0.175	1.9525	0.7645	0.4185	NA	B
I	0.43	0.34	0	0.428	0.2065	0.086	0.115	A
F	0.71	0.545	0.175	1.907	0.8725	0.4565	0.475	C
F	0.37	0.285	0.105	0.27	0.1125	0.0585	0.0835	B
F	0.605	0.465	0.155	1.1	0.547	0.2665	NA	B
M	0.59	0.455	0.155	0.8855	0.388	0.188	0.275	B
I	0.495	0.375	0.12	0.614	0.2855	0.1365	0.161	A
M	0.62	0.48	0.165	1.0855	0.481	0.2575	0.305	B
I	0.56	0.44	0.17	0.9445	0.3545	0.2175	0.3	C
F	0.56	0.445	0.155	1.224	0.5565	0.3225	NA	B
I	0.57	0.435	0.17	0.848	0.4	0.166	0.25	B
F	0.505	0.41	0.135	0.657	0.291	0.133	0.195	C
I	0.425	0.34	0.1	0.371	0.15	0.0865	0.115	A
I	0.425	0.33	0.115	0.3265	0.1315	0.077	0.103	A
M	0.6	0.46	0.18	1.14	0.423	0.2575	0.365	B
I	0.67	0.485	0.175	1.2565	0.5355	0.322	0.386	B
M	0.64	0.585	0.195	1.647	0.7225	0.331	0.471	C
I	0.385	0.29	0.085	0.2505	0.112	0.061	0.08	A
I	0.42	0.325	0.11	0.325	0.1245	0.0755	NA	A
F	0.625	0.48	0.2	1.3235	0.6075	0.3055	0.355	B
I	0.505	0.405	0.13	0.6015	0.3015	0.11	0.18	A
M	0.47	0.36	0.135	0.501	0.1665	0.115	0.165	B
M	0.635	0.525	0.185	1.4065	0.684	0.3	0.3745	B
M	0.345	0.255	0.08	0.169	0.06	0.0425	0.054	B
I	0.425	0.31	0.095	0.3075	0.139	0.0745	0.093	A
M	0.525	0.4	0.14	0.7205	0.3685	0.145	NA	A
M	0.545	0.42	0.14	0.7505	0.2475	0.13	0.255	C
I	0.25	0.18	0.065	0.0685	0.0245	0.0155	NA	A
I	0.425	0.315	0.095	0.3675	0.1865	0.0675	0.0985	A
F	0.45	0.36	0.125	0.4995	0.2035	0.1	0.17	C
I	0.295	0.21	0.08	0.1	0.038	0.026	0.031	A
M	0.63	0.495	0.16	1.093	0.497	0.221	0.315	C
I	0.475	0.42	0.16	0.7095	0.35	0.1505	0.1845	A
F	0.475	0.365	0.13	0.4805	0.1905	0.114	NA	C
F	0.635	0.495	0.195	1.297	0.556	0.2985	0.37	C
M	0.67	0.505	0.16	1.2585	0.6255	0.311	NA	C
F	0.57	0.46	0.17	1.1	0.4125	0.2205	0.38	C
I	0.205	0.155	0.045	0.0495	0.0235	0.011	NA	A
F	0.62	0.475	0.175	1.0165	0.4355	0.214	0.325	B
F	0.67	0.515	0.17	1.4265	0.6605	0.3395	0.37	C
M	0.565	0.455	0.155	0.9355	0.421	0.183	0.26	C
F	0.49	0.37	0.115	0.541	0.171	0.1175	0.185	C
M	0.575	0.45	0.135	0.9215	0.354	0.209	0.2365	B
F	0.64	0.51	0.165	1.486	0.7595	0.332	0.321	A
M	0.47	0.37	0.13	0.5225	0.201	0.133	0.165	A
I	0.325	0.25	0.08	0.1735	0.0765	0.0345	0.049	A
F	0.605	0.475	0.175	1.382	0.609	0.2325	NA	B
M	0.36	0.295	0.1	0.2105	0.066	0.0525	0.075	B
F	0.57	0.445	0.155	1.017	0.5265	0.2025	0.265	B
M	0.565	0.44	0.155	0.868	0.348	0.217	0.26	C
M	0.42	0.34	0.125	0.4495	0.165	0.1125	NA	C
M	0.46	0.375	0.14	0.5105	0.192	0.1045	0.205	B
M	0.68	0.52	0.175	1.543	0.7525	0.351	0.374	C
M	0.55	0.46	0.13	0.7085	0.305	0.1455	0.205	C
M	0.595	0.48	0.185	1.1785	0.526	0.2975	NA	B
I	0.655	0.515	0.145	1.25	0.5265	0.283	0.315	C
M	0.47	0.375	0.115	0.4265	0.1685	0.0755	0.15	A
M	0.58	0.45	0.14	1.013	0.38	0.216	0.36	C
M	0.62	0.48	0.16	1.0765	0.412	0.253	0.3	C
M	0.735	0.59	0.215	1.747	0.7275	0.403	NA	C
I	0.59	0.465	0.195	1.0885	0.3685	0.187	0.375	C
M	0.5	0.4	0.13	0.7715	0.37	0.16	NA	A
M	0.33	0.25	0.09	0.197	0.085	0.041	0.0605	B
M	0.615	0.47	0.155	1.2	0.5085	0.32	0.292	A
M	0.62	0.485	0.145	1.003	0.4655	0.2195	0.28	C
I	0.425	0.34	0.1	0.382	0.164	0.096	0.1	A
F	0.71	0.575	0.175	1.555	0.6465	0.3705	NA	C
M	0.685	0.535	0.155	1.3845	0.6615	0.2145	0.4075	B
M	0.59	0.475	0.155	0.857	0.356	0.174	0.28	C
I	0.58	0.445	0.15	0.8865	0.383	0.209	0.255	C
M	0.485	0.385	0.125	0.4775	0.2	0.0785	0.17	C
M	0.565	0.445	0.145	0.9255	0.4345	0.212	0.2475	B
F	0.625	0.49	0.155	1.115	0.484	0.277	0.3095	B
M	0.585	0.455	0.15	0.906	0.4095	0.23	0.2335	A
M	0.48	0.355	0.16	0.464	0.221	0.106	0.239	A
F	0.595	0.495	0.235	1.366	0.5065	0.219	0.52	C
I	0.375	0.28	0.08	0.2345	0.1125	0.0455	0.067	A
I	0.55	0.42	0.115	0.668	0.2925	0.137	0.209	C
I	0.285	0.205	0.07	0.106	0.039	0.0285	NA	A
M	0.68	0.52	0.195	1.4535	0.592	0.391	NA	B
I	0.44	0.345	0.12	0.365	0.1655	0.083	0.11	A
I	0.315	0.245	0.085	0.1435	0.053	0.0475	0.05	A
F	0.475	0.38	0.14	0.689	0.3165	0.1315	NA	A
M	0.725	0.505	0.185	1.978	1.026	0.4255	NA	C
I	0.47	0.375	0.105	0.441	0.167	0.0865	0.145	B
I	0.31	0.24	0.09	0.1455	0.0605	0.0315	0.045	A
F	0.49	0.38	0.125	0.549	0.245	0.1075	NA	B
I	0.44	0.34	0.125	0.4895	0.1735	0.0875	0.2	C
I	0.61	0.425	0.155	1.0485	0.507	0.1955	0.274	C
M	0.62	0.51	0.175	1.2815	0.5715	0.2385	0.39	B
M	0.515	0.42	0.14	0.769	0.2505	0.154	0.29	C
M	0.65	0.51	0.19	1.542	0.7155	0.3735	NA	B
M	0.575	0.435	0.135	0.992	0.432	0.2225	0.239	B
M	0.6	0.475	0.19	1.0875	0.403	0.2655	0.325	C
F	0.72	0.575	0.195	2.1505	1.0745	0.382	0.585	B
M	0.58	0.455	0.195	1.859	0.945	0.426	NA	B
I	0.45	0.335	0.105	0.362	0.1575	0.0795	0.1095	A
M	0.63	0.515	0.16	1.016	0.4215	0.244	0.355	C
M	0.645	0.5	0.175	1.286	0.5645	0.288	NA	C
M	0.57	0.435	0.125	0.8965	0.383	0.1835	0.275	B
F	0.635	0.51	0.185	1.286	0.526	0.295	NA	C
I	0.465	0.355	0.105	0.442	0.2085	0.0975	NA	A
I	0.435	0.335	0.11	0.334	0.1355	0.0775	0.0965	A
I	0.16	0.11	0.025	0.0195	0.0075	0.005	NA	A
I	0.375	0.285	0.09	0.257	0.1045	0.062	0.075	A
F	0.485	0.375	0.145	0.5885	0.2385	0.1155	0.19	C
F	0.71	0.56	0.18	1.652	0.735	0.381	NA	C
I	0.315	0.235	0.075	0.1285	0.051	0.028	0.0405	A
F	0.57	0.44	0.12	0.803	0.382	0.1525	0.234	B
F	0.525	0.415	0.15	0.7155	0.2355	0.171	0.27	C
I	0.49	0.385	0.115	0.683	0.3265	0.1615	0.165	C
F	0.61	0.47	0.195	1.2735	0.469	0.3315	NA	C
F	0.57	0.435	0.14	0.8085	0.3235	0.183	0.22	C
I	0.515	0.4	0.125	0.5625	0.25	0.1245	0.17	A
F	0.6	0.48	0.17	1.056	0.4575	0.2435	0.3135	B
F	0.665	0.51	0.175	1.3805	0.675	0.2985	0.325	B
F	0.625	0.49	0.175	1.1075	0.4485	0.2165	0.3595	A
M	0.45	0.35	0.13	0.46	0.174	0.111	0.135	A
M	0.7	0.545	0.215	1.9125	0.8825	0.4385	NA	B
M	0.61	0.485	0.175	1.2445	0.544	0.297	0.345	C
I	0.485	0.375	0.13	0.6025	0.2935	0.1285	0.16	A
F	0.565	0.44	0.16	0.915	0.354	0.1935	0.32	C
F	0.345	0.26	0.09	0.207	0.0775	0.0435	0.0765	B
M	0.715	0.545	0.18	1.7405	0.871	0.347	NA	B
M	0.58	0.45	0.12	0.8685	0.418	0.1475	NA	A
I	0.305	0.225	0.09	0.1465	0.063	0.034	NA	A
F	0.515	0.415	0.14	0.6935	0.3115	0.152	0.2	B
M	0.435	0.335	0.11	0.4385	0.2075	0.0715	0.1315	A
M	0.61	0.48	0.165	1.244	0.6345	0.257	0.305	C
M	0.595	0.475	0.14	1.0305	0.4925	0.217	NA	B
F	0.305	0.225	0.07	0.1485	0.0585	0.0335	NA	A
F	0.62	0.485	0.165	1.166	0.483	0.238	0.355	C
F	0.53	0.425	0.17	0.949	0.3485	0.2395	0.278	C
M	0.565	0.455	0.185	0.9265	0.354	0.1575	0.375	C
I	0.58	0.445	0.17	1.178	0.3935	0.2165	0.315	C
I	0.54	0.39	0.125	0.6255	0.2525	0.158	NA	A
F	0.385	0.3	0.1	0.2725	0.1115	0.057	0.08	A
F	0.635	0.475	0.15	1.1845	0.533	0.307	0.291	B
M	0.35	0.255	0.08	0.1915	0.08	0.0385	0.063	B
M	0.705	0.565	0.515	2.21	1.1075	0.4865	NA	B
M	0.455	0.35	0.11	0.458	0.2	0.111	NA	A
M	0.595	0.485	0.15	1.0835	0.5305	0.231	0.276	A
M	0.65	0.525	0.205	1.4275	0.69	0.306	NA	C
I	0.52	0.41	0.14	0.5995	0.242	0.1375	NA	C
M	0.505	0.38	0.13	0.656	0.227	0.1785	0.22	C
F	0.675	0.535	0.185	1.5575	0.7035	0.402	0.4	C
M	0.59	0.49	0.165	1.207	0.559	0.235	0.309	B
M	0.625	0.49	0.185	1.169	0.5275	0.2535	NA	C
M	0.53	0.4	0.125	0.7575	0.398	0.151	0.175	A
I	0.405	0.3	0.11	0.32	0.172	0.044	0.093	A
F	0.575	0.465	0.195	0.9965	0.417	0.247	0.47	A
I	0.57	0.45	0.145	0.751	0.2825	0.2195	0.2215	B
M	0.505	0.385	0.145	0.6775	0.236	0.179	0.2	C
F	0.59	0.47	0.17	0.9	0.355	0.1905	0.25	C
F	0.625	0.49	0.11	1.136	0.5265	0.1915	0.2925	B
F	0.5	0.405	0.15	0.5965	0.253	0.126	0.185	C
M	0.515	0.395	0.12	0.646	0.285	0.1365	0.172	B
M	0.7	0.555	0.2	1.858	0.73	0.3665	0.595	C
M	0.62	0.485	0.155	1.0295	0.425	0.2315	0.335	C
F	0.675	0.54	0.21	1.593	0.686	0.318	0.45	C
M	0.46	0.345	0.12	0.4935	0.2435	0.1175	0.132	A
M	0.525	0.41	0.165	0.8005	0.2635	0.1985	0.25	C
I	0.575	0.45	0.17	0.9315	0.358	0.2145	0.26	C
I	0.575	0.475	0.17	0.967	0.3775	0.284	0.275	C
F	0.495	0.37	0.12	0.594	0.28	0.11	0.1375	A
F	0.52	0.46	0.15	1.019	0.523	0.1985	NA	A
F	0.65	0.495	0.16	1.3105	0.577	0.3315	0.355	B
M	0.385	0.255	0.1	0.3175	0.137	0.068	NA	A
M	0.72	0.58	0.19	2.0885	0.9955	0.478	NA	C
M	0.49	0.385	0.125	0.609	0.3065	0.096	NA	A
F	0.635	0.515	0.19	1.3715	0.5065	0.305	0.45	B
M	0.61	0.475	0.155	1.168	0.554	0.239	NA	B
M	0.605	0.485	0.175	1.145	0.4325	0.27	NA	C
I	0.355	0.275	0.085	0.22	0.092	0.06	0.15	A
I	0.365	0.27	0.085	0.197	0.0815	0.0325	0.065	A
M	0.31	0.22	0.085	0.146	0.061	0.0365	0.045	A
I	0.555	0.435	0.145	0.6975	0.262	0.1575	0.24	C
M	0.425	0.325	0.095	0.3785	0.1705	0.08	0.1	A
F	0.45	0.365	0.115	0.5885	0.318	0.121	NA	A
M	0.69	0.525	0.175	1.7005	0.8255	0.362	0.405	A
I	0.56	0.425	0.135	0.8205	0.3715	0.185	0.236	B
M	0.66	0.535	0.19	1.5905	0.6425	0.297	NA	B
I	0.395	0.295	0.1	0.293	0.14	0.062	NA	A
F	0.595	0.45	0.165	1.081	0.49	0.2525	0.279	C
I	0.315	0.23	0	0.134	0.0575	0.0285	NA	A
M	0.425	0.35	0.105	0.393	0.13	0.063	0.165	B
M	0.32	0.24	0.085	0.17	0.0655	0.047	NA	A
I	0.315	0.21	0.06	0.125	0.06	0.0375	0.035	A
M	0.585	0.43	0.16	0.955	0.3625	0.176	0.27	C
I	0.415	0.325	0.1	0.385	0.167	0.08	0.125	A
I	0.525	0.415	0.12	0.596	0.2805	0.12	0.1695	B
F	0.615	0.515	0.17	1.14	0.4305	0.2245	0.42	C
F	0.415	0.325	0.105	0.38	0.1595	0.0785	0.12	C
M	0.575	0.455	0.185	1.156	0.5525	0.243	0.295	C
I	0.58	0.46	0.14	0.8295	0.3915	0.165	0.238	B
F	0.58	0.46	0.135	0.926	0.4025	0.208	0.275	A
M	0.72	0.565	0.2	2.1055	1.017	0.363	NA	C
M	0.625	0.49	0.165	1.205	0.5175	0.3105	NA	B
I	0.27	0.19	0.06	0.099	0.0445	0.017	0.03	A
I	0.235	0.13	0.075	0.1585	0.0685	0.037	NA	A
M	0.68	0.515	0.16	1.2345	0.618	0.2625	0.325	C
F	0.68	0.51	0.2	1.6075	0.714	0.339	NA	C
I	0.52	0.41	0.14	0.6625	0.2775	0.1555	0.196	C
F	0.49	0.385	0.125	0.5395	0.2175	0.128	0.165	C
M	0.62	0.45	0.2	0.858	0.4285	0.1525	NA	A
F	0.71	0.55	0.17	1.614	0.743	0.345	0.45	C
I	0.46	0.35	0.11	0.4	0.176	0.083	NA	A
F	0.57	0.435	0.15	0.8295	0.3875	0.156	NA	B
F	0.495	0.38	0.12	0.573	0.2655	0.1285	0.144	A
I	0.44	0.33	0.135	0.522	0.17	0.0905	0.195	C
F	0.62	0.51	0.15	1.456	0.581	0.2875	0.32	C
M	0.56	0.44	0.16	1.1115	0.5035	0.2785	NA	B
F	0.525	0.41	0.135	0.7905	0.4065	0.198	0.177	A
F	0.645	0.505	0.165	1.4325	0.684	0.308	NA	A
I	0.47	0.35	0.13	0.466	0.1845	0.099	0.145	C
I	0.405	0.31	0.11	0.91	0.416	0.2075	NA	A
I	0.34	0.265	0.08	0.2015	0.09	0.0475	0.055	A
I	0.58	0.42	0.14	0.701	0.3285	0.102	NA	B
M	0.675	0.52	0.145	1.3645	0.557	0.3405	NA	C
F	0.535	0.425	0.155	0.7765	0.302	0.1565	0.25	C
F	0.58	0.445	0.15	0.858	0.4	0.156	0.253	A
F	0.55	0.435	0.14	0.745	0.347	0.174	0.2265	B
M	0.66	0.51	0.18	1.261	0.5	0.2335	NA	B
M	0.46	0.34	0.135	0.495	0.1655	0.117	0.185	B
F	0.65	0.51	0.175	1.35	0.575	0.3155	NA	B
F	0.615	0.455	0.145	1.1155	0.5045	0.238	0.315	B
F	0.595	0.465	0.155	1.026	0.4645	0.112	0.305	C
I	0.325	0.24	0.075	0.152	0.065	0.0305	0.045	A
F	0.75	0.61	0.235	2.5085	1.232	0.519	NA	C
M	0.67	0.51	0.18	1.68	0.926	0.2975	NA	C
F	0.54	0.42	0.14	0.8035	0.38	0.1805	0.21	B
I	0.575	0.455	0.155	0.8725	0.349	0.2095	0.285	A
F	0.335	0.22	0.07	0.17	0.076	0.0365	0.05	A
F	0.65	0.49	0.155	1.122	0.545	0.228	NA	B
I	0.275	0.205	0.065	0.101	0.041	0.021	0.034	A
F	0.75	0.565	0.215	1.938	0.7735	0.4825	NA	C
M	0.595	0.475	0.14	0.944	0.3625	0.189	0.315	B
I	0.37	0.27	0.09	0.1855	0.07	0.0425	0.065	A
I	0.365	0.265	0.135	0.2215	0.105	0.047	NA	A
M	0.45	0.32	0.1	0.381	0.1705	0.075	0.115	B
F	0.66	0.505	0.185	1.528	0.69	0.3025	0.441	C
F	0.515	0.425	0.14	0.766	0.304	0.1725	0.255	C
I	0.47	0.375	0.12	0.487	0.196	0.099	0.135	A
F	0.615	0.5	0.165	1.1765	0.488	0.244	0.345	C
M	0.69	0.55	0.18	1.6915	0.6655	0.402	0.5	C
F	0.625	0.485	0.16	1.254	0.591	0.259	NA	B
I	0.36	0.28	0.08	0.1755	0.081	0.0505	0.07	A
I	0.43	0.34	0.105	0.4405	0.2385	0.0745	NA	A
M	0.625	0.495	0.155	1.025	0.46	0.1945	0.34	B
M	0.55	0.44	0.16	0.985	0.4645	0.201	0.27	A
F	0.54	0.415	0.15	0.8115	0.3875	0.1875	0.2035	B
M	0.64	0.525	0.2	1.3765	0.44	0.3075	0.47	C
I	0.43	0.34	0.125	0.384	0.1375	0.061	NA	C
I	0.45	0.35	0.11	0.514	0.253	0.1045	0.14	A
M	0.635	0.48	0.19	1.467	0.5825	0.303	0.42	C
M	0.64	0.515	0.18	1.247	0.5475	0.2925	NA	B
F	0.46	0.38	0.13	0.639	0.3	0.1525	0.16	C
F	0.46	0.365	0.125	0.4785	0.206	0.1045	0.141	A
M	0.59	0.47	0.155	1.1735	0.6245	0.233	0.2595	B
I	0.35	0.25	0.07	0.18	0.0655	0.048	0.054	A
M	0.165	0.125	0.04	0.0245	0.0095	0.0045	NA	A
F	0.575	0.47	0.165	0.869	0.435	0.197	NA	B
M	0.615	0.525	0.155	1.1375	0.367	0.236	0.37	C
M	0.45	0.335	0.14	0.4625	0.164	0.076	NA	C
I	0.575	0.435	0.13	0.805	0.3155	0.2155	0.245	B
M	0.68	0.53	0.18	1.529	0.7635	0.3115	NA	C
I	0.435	0.345	0.12	0.4475	0.221	0.112	0.125	A
M	0.4	0.31	0.11	0.314	0.138	0.057	0.1	C
F	0.53	0.425	0.13	0.717	0.2115	0.166	0.255	C
F	0.61	0.48	0.175	1.0675	0.391	0.216	0.42	C
M	0.515	0.455	0.135	0.7225	0.295	0.1625	0.235	B
F	0.68	0.52	0.185	1.541	0.5985	0.395	NA	B
M	0.61	0.48	0.15	1.1495	0.564	0.274	0.264	A
I	0.46	0.345	0.105	0.449	0.196	0.0945	NA	A
M	0.725	0.565	0.215	1.891	0.6975	0.4725	0.58	C
F	0.7	0.575	0.205	1.773	0.605	0.447	NA	C
I	0.485	0.355	0.105	0.498	0.2175	0.096	NA	B
I	0.485	0.37	0.115	0.457	0.1885	0.0965	0.15	B
I	0.23	0.175	0.065	0.0645	0.026	0.0105	0.02	A
I	0.23	0.17	0.05	0.057	0.026	0.013	NA	A
I	0.53	0.415	0.145	0.944	0.3845	0.185	0.265	C
M	0.445	0.345	0.14	0.476	0.2055	0.1015	NA	C
M	0.595	0.465	0.15	0.919	0.4335	0.1765	NA	B
F	0.655	0.46	0.16	1.494	0.6895	0.331	0.1825	B
M	0.6	0.46	0.17	1.1805	0.456	0.337	NA	C
M	0.535	0.41	0.12	0.6835	0.3125	0.1655	0.159	A
I	0.5	0.39	0.12	0.5955	0.2455	0.147	0.173	A
M	0.37	0.28	0.1	0.252	0.1065	0.0595	NA	A
I	0.255	0.185	0.06	0.0925	0.039	0.021	0.025	A
I	0.44	0.335	0.11	0.3885	0.175	0.0835	NA	A
M	0.575	0.47	0.15	0.9785	0.4505	0.196	0.276	B
M	0.505	0.395	0.125	0.635	0.29	0.1555	0.175	B
M	0.72	0.56	0.18	1.5865	0.691	0.375	NA	C
F	0.47	0.35	0.115	0.487	0.1955	0.127	0.155	A
I	0.355	0.26	0.09	0.1925	0.077	0.038	0.065	A
I	0.515	0.39	0.14	0.5555	0.2	0.1135	NA	C
M	0.505	0.365	0.115	0.521	0.25	0.096	0.15	A
F	0.58	0.435	0.14	0.953	0.475	0.2165	NA	B
I	0.31	0.23	0.07	0.1245	0.0505	0.0265	NA	A
F	0.635	0.525	0.18	1.3695	0.634	0.318	NA	C
I	0.525	0.405	0.125	0.657	0.2985	0.1505	0.168	B
F	0.65	0.51	0.155	1.189	0.483	0.278	NA	C
M	0.58	0.46	0.15	1.049	0.5205	0.1935	0.305	B
F	0.645	0.48	0.17	1.1345	0.528	0.254	0.305	B
I	0.36	0.275	0.095	0.217	0.084	0.0435	0.09	A
M	0.59	0.49	0.135	1.008	0.422	0.2245	0.285	C
I	0.575	0.455	0.18	0.8525	0.3015	0.1825	0.3	C
F	0.575	0.435	0.15	1.0305	0.4605	0.218	0.36	A
I	0.48	0.365	0.1	0.461	0.2205	0.0835	0.135	A
I	0.43	0.315	0.095	0.378	0.175	0.08	NA	A
F	0.59	0.465	0.15	1.151	0.613	0.239	0.2515	B
I	0.315	0.235	0.055	0.151	0.065	0.027	NA	A
M	0.565	0.44	0.175	1.122	0.393	0.2	0.375	C
M	0.67	0.55	0.17	1.247	0.472	0.2455	0.4	C
I	0.355	0.285	0.095	0.2275	0.0955	0.0475	0.0715	A
M	0.5	0.42	0.135	0.6765	0.302	0.1415	NA	B
M	0.59	0.485	0.155	1.0785	0.4535	0.2435	0.31	B
M	0.43	0.335	0.12	0.397	0.1985	0.0865	NA	A
F	0.65	0.51	0.185	1.375	0.531	0.384	0.3985	B
M	0.57	0.42	0.155	1.008	0.377	0.193	0.34	C
M	0.395	0.28	0.08	0.266	0.0995	0.066	0.09	C
F	0.57	0.425	0.13	0.782	0.3695	0.1745	NA	A
F	0.395	0.315	0.105	0.3515	0.1185	0.091	NA	C
I	0.37	0.28	0.095	0.2865	0.1505	0.069	NA	A
I	0.525	0.39	0.105	0.567	0.2875	0.1075	0.16	A
F	0.64	0.505	0.175	1.3185	0.6185	0.302	0.3315	B
M	0.355	0.265	0.085	0.201	0.069	0.053	NA	A
F	0.43	0.325	0.12	0.445	0.165	0.0995	0.155	A
M	0.595	0.455	0.15	0.886	0.4315	0.201	0.223	B
F	0.46	0.375	0.12	0.4915	0.2205	0.088	0.17	A
F	0.61	0.485	0.165	1.0915	0.3935	0.2435	0.33	C
M	0.505	0.41	0.125	0.642	0.289	0.133	0.155	B
M	0.61	0.5	0.165	1.2715	0.4915	0.185	0.49	C
I	0.59	0.445	0.135	0.7715	0.328	0.1745	0.23	B
I	0.2	0.145	0.025	0.0345	0.011	0.0075	NA	A
M	0.555	0.435	0.135	0.858	0.377	0.1585	0.29	C
M	0.54	0.41	0.13	0.56	0.2375	0.1065	0.175	A
I	0.47	0.37	0.14	0.4985	0.2095	0.1225	0.145	B
F	0.72	0.525	0.18	1.445	0.631	0.3215	0.435	A
M	0.515	0.435	0.145	0.8815	0.292	0.206	NA	B
M	0.59	0.475	0.16	0.9455	0.3815	0.184	NA	C
M	0.595	0.49	0.185	1.185	0.482	0.2015	0.361	B
I	0.41	0.325	0.105	0.361	0.1605	0.0665	NA	A
M	0.58	0.46	0.15	1.0165	0.491	0.221	0.265	B
I	0.36	0.26	0.09	0.1785	0.0645	0.037	0.075	A
M	0.575	0.4	0.155	0.9325	0.3605	0.2445	0.3	C
M	0.54	0.425	0.12	0.817	0.2945	0.153	0.195	B
F	0.625	0.475	0.16	1.3335	0.605	0.2875	NA	B
I	0.35	0.27	0.09	0.2055	0.075	0.0575	0.062	A
F	0.64	0.475	0.14	1.0725	0.4895	0.2295	0.31	A
F	0.645	0.49	0.16	1.1665	0.4935	0.3155	NA	B
M	0.35	0.265	0.09	0.2265	0.0995	0.0575	0.065	A
F	0.655	0.52	0.19	1.4545	0.6	0.3865	NA	B
M	0.64	0.505	0.155	1.1955	0.5565	0.211	NA	C
I	0.285	0.215	0.06	0.0935	0.031	0.023	0.03	A
F	0.7	0.575	0.2	1.7365	0.7755	0.3965	NA	C
F	0.545	0.425	0.125	0.768	0.294	0.1495	0.26	C
I	0.51	0.38	0.115	0.5155	0.215	0.1135	NA	A
M	0.56	0.425	0.135	0.9415	0.509	0.2015	NA	B
M	0.58	0.47	0.165	0.927	0.3215	0.1985	0.315	C
F	0.55	0.425	0.14	0.952	0.4895	0.1945	0.2185	A
I	0.53	0.42	0.185	0.752	0.299	0.156	0.205	C
F	0.645	0.515	0.15	1.212	0.515	0.2055	0.385	B
M	0.475	0.355	0.12	0.48	0.234	0.1015	0.135	A
I	0.47	0.355	0.125	0.499	0.21	0.0985	0.155	A
F	0.47	0.35	0.145	0.5175	0.187	0.1235	0.18	C
I	0.56	0.445	0.15	0.8225	0.3685	0.187	0.236	B
I	0.45	0.345	0.11	0.47	0.2355	0.0855	0.1135	A
F	0.665	0.515	0.18	1.389	0.5945	0.324	0.395	B
M	0.415	0.345	0.135	0.3865	0.128	0.07	0.148	C
I	0.45	0.33	0.115	0.365	0.14	0.0825	NA	A
F	0.605	0.475	0.175	1.076	0.463	0.2195	0.335	B
I	0.395	0.325	0.105	0.306	0.111	0.0735	0.095	A
F	0.625	0.525	0.215	1.5765	0.5115	0.2595	0.665	C
F	0.575	0.45	0.1	0.9315	0.431	0.222	0.235	C
F	0.53	0.455	0.165	0.9805	0.3155	0.2815	0.2965	C
M	0.535	0.435	0.155	0.8915	0.3415	0.177	0.25	C
F	0.45	0.325	0.135	0.438	0.1805	0.1165	0.11	B
M	0.47	0.37	0.12	0.5795	0.293	0.227	NA	B
M	0.595	0.48	0.165	1.262	0.4835	0.283	0.41	C
I	0.56	0.43	0.13	0.728	0.3355	0.1435	0.2175	A
I	0.425	0.31	0.09	0.301	0.1385	0.065	0.08	A
I	0.36	0.265	0.095	0.2315	0.105	0.046	0.075	A
M	0.65	0.515	0.18	1.463	0.658	0.3135	NA	C
I	0.41	0.31	0.11	0.315	0.124	0.082	NA	B
F	0.695	0.55	0.16	1.6365	0.694	0.3005	0.44	C
M	0.755	0.58	0.205	2.0065	0.8295	0.4015	NA	B
