"bkblk","bknwy","bkon8","bkona","bkspr","bkxbq","bkxcr","bkxwp","blxwp","bxqsq","cntxt","dsopp","dwipd","hdchk","katri","mulch","qxmsq","r2ar8","reskd","reskr","rimmx","rkxwp","rxmsq","simpl","skach","skewr","spcop","skrxp","stlmt","thrsk","wkcti","wkna8","wknck","wkovl","wkpos","wtoeg","class"
"f","f","f","f","t","t",NA,"f","t","f","t","f","g","f","n","f","f","t",NA,"f","f","t","f","f","f","t",NA,"f","f",NA,"f",NA,"f","t",NA,"n","won"
"f","f","f","f",NA,NA,"f","f","f",NA,"f","f","l","f","n","f",NA,"t","f","f","f","f","f","t","f","f","f",NA,"f","f","f","f",NA,"t","t","t","nowin"
"f","f","t","f",NA,NA,"t","t","t","t","f","f","g","f","n","f",NA,"t","f","f","f","f","f","t","f","t","f","f","f","f","f","f","f","f","t","t","nowin"
"f","f","f","f","f","t","t","f","f","t","t","f","l","f","n","f","f","t","f","f","f","f","f","f","f","t","f",NA,"f","f","f","f","t","t","t","n","nowin"
"f","t","f","f","f","f","f","f","f","f","f","f","l","f","n","f","f","f","t","f","f","f","f","t","f","t","f","f","f",NA,"t","t","f","f","f",NA,"nowin"
"f","f","f","f","t","f","f","f","f","f","t","f",NA,NA,"b","f",NA,"t","f","f","f","f","f","t","f","t","f",NA,"f","f","f","f","f","t","t","n","nowin"
"f","f","f","f","f","f","f","f","f",NA,"f","f","l",NA,"n","f",NA,"t",NA,"f","f","f","t","f","f","t","f","f","f","f","f","f","t","t","t","n","nowin"
"f",NA,"f","f","t","f","f","f","f","f","t","f","l","f","n","f",NA,"t","f","f","f","f","f","f","f","t",NA,NA,"f",NA,"f","f","f","t",NA,NA,"won"
"f","f","f","f","t","f",NA,"t",NA,NA,"t","f","l",NA,"n",NA,"f","f","f","f","f","f","f","t","f","t",NA,"f","f",NA,"f","f","f","f","t","n","won"
"f","f","f","f","f",NA,NA,"f","f","t","t","f","l",NA,"w","f","f","t","f","f","f","f","f","t","f","t","f",NA,"f","f","f",NA,"f","t","t",NA,"nowin"
"f","f","f","f",NA,"f","f","f","f","f","f","f",NA,NA,"n","f","f","f",NA,"f","t","f","f","f","f","f",NA,NA,"f","f","f",NA,"t","f","t","t","won"
"f","f","t","f",NA,"f",NA,"t","t",NA,"f","f","l","f","n","f","f","f",NA,"f","f","f","f","t","f","t","f","f","f","f","f","f",NA,"f",NA,NA,"nowin"
"f","f","f","f","f","f","f","f","f","f","t","t","l","f","w","f","t","t","f","f","f","f","f","t","f","t",NA,"f","f","f","f",NA,"f","t","t",NA,"won"
"f","f","f","f","f","t","t","t","t","t","t","f","l",NA,"w","f",NA,"t","f","f","f","f","f","f","f","t","f","f","f","f","f",NA,"t","t","f","n","nowin"
"f","f","f","f","t","f","f","f","f","f","f","f","l","f","n","f",NA,"f","f","f","t","f","f","t","f","f","f","f","f",NA,"f","f",NA,"f","t","n","won"
"f",NA,"f","f","t","f","t","t","t",NA,"t","f","l","f","n","f",NA,"t",NA,"f","f","f","f","f","f","t",NA,"f","f",NA,"f","f",NA,"t",NA,NA,"nowin"
"t","f","t","f",NA,"f","t","t",NA,"t","t","f","l","f","w","f","f","f","f","f","f","f","f","t","f","t","f",NA,"f",NA,"f","f","t","f",NA,"n","nowin"
"f","f","f","f","f","f","f","f",NA,NA,"f","f","l","f","n","f","f","t",NA,"f","t","t","f","f","f","t",NA,"f","f","f","f",NA,"f","t",NA,"n","won"
"f",NA,"f","f",NA,"f",NA,"f","f","t","f","f","l","f","n",NA,NA,"f",NA,"f","t","f","f","t","f","f","f","f","f","f","f","f",NA,"f","t","t","won"
"f",NA,"f","f","f",NA,NA,"f","f",NA,"t","f","l","f","w","f","f","t","f","t","f","f","f","f","f","t","f",NA,"f","f","t","f","f","t","f","n","won"
"f","f","f","f","t","f","t","t","t","t","f","f",NA,NA,"n","f","f","t","f","f","t","f","f","t","f","f",NA,"f","f","f","f","f","f","t","t","t","won"
"f",NA,"f","f","f","t","f","f","f","f","f","f","l","f","n",NA,NA,"t",NA,"f","t","f","f","f","f","f",NA,"f","f","f","f","f","t","t",NA,"t","won"
"f","f","f","f","t",NA,NA,"t",NA,"t","f","f","l","f","n","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f",NA,NA,"f",NA,"t","nowin"
"f","f","f","f","f","t","t","f",NA,NA,"t","t","l",NA,"n","f","t","t","f","t","t","f","t","f","f","t","f","f","f","f","f","f",NA,"t","t","n","won"
"f","f","f","f","f","t","f","f","f","f","t","f","l","f","w","f",NA,"f","f","f","t","f","f","t","f","t","f","f","f","f","t","f",NA,"f","f",NA,"won"
"t",NA,"f","f","t",NA,"t","t","t",NA,"t","f","l",NA,"b","f","f","t","f","f","f","f","f","f","f","t",NA,NA,"f",NA,"f","f",NA,"t","t",NA,"won"
"f","f","f","f","f","t","t","t",NA,"f","t","f",NA,NA,"n","f",NA,"t","f","f","f","f","f","f","f","t",NA,"f","f",NA,"f","f","f","t","t",NA,"won"
"f","t","f","f","f",NA,"f","f","f",NA,"f","f",NA,NA,"n",NA,"f","f","f","t","f","f","f","f","f","t",NA,NA,"f",NA,"f","t","f","f",NA,"n","nowin"
"t","f","f","t","f",NA,"f","f","f","f","t","f","g","t","b","f","f","t","f","f","f","f","f","f","f","t",NA,NA,"f",NA,"f","f","f","f","f","n","nowin"
"f","t","f","f",NA,"f","f","f","t","f","t","f","l","f","n","f","f","f","f","t","t","t","f","f","f","t","f","f","f","t","t","f","t","f","f",NA,"won"
"f","f","f","f","t","f","f","f","t","f","f","f","l","f","n","f",NA,"t","f","f","f","t","f","t","f","f","f","f","f","f","f","f","f","t","t",NA,"won"
"t","f","f","f","f","f",NA,"f",NA,"f","t","f",NA,NA,"n","f","f","t","f","t","f","f","f","f","f","t","f","f","f",NA,"t","f",NA,"t","f","n","won"
"f","f","f","f","t","f",NA,"f",NA,"f","t","f",NA,"f","n","f","f","t","f","f","f","f","f","t","f","t","f","f","f","f","f",NA,"f","t","t",NA,"won"
"f",NA,"f","f","t","f","t","t","t",NA,"f","f","l","f","n",NA,"f","t","f","f","f","f","f","f","f","f","f","f","f","f","f",NA,"t","f",NA,"t","nowin"
"f",NA,"f","f","f","t","t","f",NA,"f","t","f","l","f","n",NA,NA,"f","f","f","f","f","f","t","f","t","f","f","f",NA,"f","f",NA,"f","f","n","nowin"
"t",NA,"f","t","t","t","t","t",NA,"f","t","f","l","f","w","f","f","f","f","f","f","f","f","t","f","t",NA,"t","f","f","f","f",NA,"f",NA,"n","nowin"
"f",NA,"f","f","t",NA,"f","f","t","f","t","f","l","f","n","f","f","t",NA,"t","t","t","f","f","f","t","f",NA,"f","f","t","f","t","t",NA,"n","won"
"t","f","f","f","t",NA,NA,"t","t",NA,"t","f","l","f","b","f",NA,"t","f","f","f","f","f","t","f","t","f","f","f","f","f","f","f","t","t","n","won"
"t","f","f","f","f","f","t","t",NA,"t","t","f",NA,NA,"n","f","f","t",NA,"t","f","f","f","f","f","t","f","f","f","f","t","f","f","f",NA,"n","nowin"
"f","f","t","f","f","t","f","f","f","f","f","f","l","f","n","f","f","f","f","f","t","f","f","t","f","t","f","f","f",NA,"f","f","f","f","t","t","won"
"f","f","f","t","t","t","f","f","f","f","f","f","l","f","n","f","f","f","f","f","t","f","f","f","f","t",NA,"f","f","f","f",NA,"t","f","t",NA,"won"
"f","f","f","f","f",NA,NA,"f","t","f","t","f","l","f","w","f","f","f",NA,"f","f","t","f","t","f","t","f","f","f","f","f","f","f","t","t","n","won"
"t","f","f","f","t",NA,"f","f","t",NA,"t","f","g","f","b","f","f","t","f","f","f","t","f","f","f","t",NA,NA,"f","f","f",NA,"f","t","f","n","won"
"f","f","f","f","f",NA,"f","f",NA,"f","t","f","l",NA,"w",NA,NA,"t","f","t","t","t","f","t","f","t","f","f","f","f","t","f","f","t",NA,"n","won"
"f","f","f","f","f","f",NA,"f","f",NA,"f","f","g",NA,"n","f","f","t",NA,"f","f","f","f","t","f","t","f","f","f","f","f","f",NA,"t",NA,"n","nowin"
"f","f","f","f","f","t","f","f",NA,"t","f","f","g","f","n","f","f","t","f","f","f","f","f","t","f","t","f",NA,"f","f","f",NA,"f","t","t","t","nowin"
"f",NA,"f","f","f","t",NA,"f","f","f","f","f","l","f","n",NA,"f","f","f","f","t","f","f","f","f","f",NA,"f","f",NA,"f","f","t","f","t","n","won"
"f","f","f","f","f","t","f","f",NA,NA,"f","f","g","f","n","f","f","t",NA,"f","f","f","f","t","f","t","f","f","f","f","f","f","t","t","t","n","nowin"
"f",NA,"t","f","f","t","f","f","f","f","f","f","g","f","n","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","t","n","nowin"
"f",NA,"f","f","f",NA,"f","f",NA,"f","f","f",NA,"f","n","f",NA,"f","f","f","f","f","f","t","f","t","f","f","f","f","f","f","f","t","t","t","won"
"f",NA,"f","f","f","f","t","t",NA,NA,"t","f","l","f","n",NA,"f","t","f","f","f","f","f","f","f","t","f","f","f","f","f",NA,"t","t","t","n","nowin"
"f","f","f","f",NA,"f",NA,"f","f","f","f","f","l","f","n","f",NA,"f",NA,"f","f","f","f","t","f","f","f","t","f",NA,"f","f","t","f","t","t","nowin"
"f","f","f","f",NA,NA,"f","f",NA,"f","f","t","l","f","n",NA,"f","f",NA,"f","f","f","f","f","f","f","f","f","f",NA,"f","f","t","f",NA,NA,"won"
"f",NA,"f","f","f",NA,"f","f","f","f","t","t","l","f","n","f",NA,"t","f","t","f","f","t","t","f","t","f","f","f",NA,"t",NA,NA,"t",NA,NA,"won"
"f","f","f","f","t","f","f","f",NA,NA,"f","f",NA,"f","n","f",NA,"t","f","f","f","t","f","f","f","f","f",NA,"f","f","f","f","t","t","t","t","nowin"
"f","f","f","t","t","f",NA,"t","t","t","f","f","g",NA,"n","f","f","t",NA,"f","f","f","f","t","f","f",NA,"f","f","f","f",NA,"f","f",NA,"t","nowin"
"f","f","f","f","t",NA,"t","f","f","f","t","f",NA,"f","w","f",NA,"t","f","f","f","f","f","f","f","t","f","f","f",NA,"f","f","f","f",NA,"n","won"
"f","f","f","f",NA,"t","f","f","t","f","f","t",NA,"f","n","f","f","t",NA,"f","f","t","f","f","f","f","f","f","f","f","f","f","t","t",NA,"t","nowin"
"f",NA,"f","f",NA,"t","t","f","t",NA,"f","f","g","f","n","f","f","t","f","f","f","t","f","f","f","f","f","f","f","f","f","f","t","t","t","n","nowin"
"f","f","f","f","f",NA,"t","t","t",NA,"f","f",NA,NA,"n",NA,"f","t","f","f","f","t","f","f","f","t","f","f","f","f","f",NA,"t","f","t","t","nowin"
"f","f","f","f","f","f","f","f","f","t","f","f",NA,"f","n","f","f","t","f","f","f","f","f","t","f","t","f","f","f",NA,"f","f","f","t","t",NA,"nowin"
"f","f","f","f",NA,"f",NA,"t",NA,"f","f","f","l","f","n","f",NA,"t",NA,"t","f","t","t","f","f","t",NA,"f","f","f","t","t",NA,"t","f",NA,"nowin"
"f",NA,"t","f","f","f","t","f","f","t","f","t","l","f","n","f","f","t","f","t","t","f","f","t","f","t","f",NA,"f",NA,"f","t","t","t","f","n","won"
"f",NA,"f","f","f","f","f","f","f",NA,"f","f","g","f","n",NA,"f","t",NA,"f","f","f","t","f","f","f",NA,"f","f",NA,"f","f","t","t",NA,"n","nowin"
"t","f","f","t","f","t",NA,"f","f","f","t","f","l","f","w","f","f","f","f","f","t","f","f","t","f","t","f","t","f","f","t","f","t","f","t","n","won"
"f","f","f","f","f","t",NA,"f",NA,"t","t","f",NA,"f","w","f",NA,"t",NA,"t","f","f","f","t","f","t","f","f","f",NA,"f",NA,"f","t",NA,"n","nowin"
"f","f","t","f","t","t","t","f","f",NA,"f","f","l","f","n","f",NA,"t","f","f","f","f","f","t","f","t","f","f","f","f","f","f","f","f","t","n","won"
"f","f","f","f",NA,"f","f","f",NA,NA,"t","f","l","f","n","f","f","t",NA,"t","f","t","f","f","f","t","f","f","f",NA,"t","f","f","t",NA,"n","nowin"
"f",NA,"f","f","t","f","t","f","f","t","f","f","l","f","n","f","f","t",NA,"f","f","f","f","f","f","f","f","f","f",NA,"f","f","f","t","t",NA,"nowin"
"f",NA,"f","f",NA,"t",NA,"f",NA,"f","t","f",NA,NA,"b","f",NA,"t","f","f","f","f","t","f","f","t","f","f","f",NA,"f","f","f","t",NA,NA,"won"
"f","f","f","f","f",NA,"f","f",NA,NA,"f","f",NA,"f","n","f","f","f",NA,"f","t","f","f","t","f","f","f","f","f",NA,"f","f","t","f","t",NA,"won"
"f","f","f","f",NA,"t","t","f","f","f","t","f",NA,"f","n","f","f","t",NA,"f","f","f","f","f","f","t","f","f","f","f","f","f",NA,"t",NA,NA,"won"
"f","f","f","f","f",NA,NA,"f",NA,NA,"f","f","l",NA,"n","f","f","t",NA,"f","f","f","f","f","f","f","f","f","f","f","f","f",NA,"t","t","t","nowin"
"f","t","f","f","f","f","f","f",NA,"f","f","f","g",NA,"n","f","f","f","f","f","f","f","f","f","f","t","f","f","f",NA,"f",NA,"f","f","t","t","won"
"f","f","f","f","t","f","f","f","f","f","f","f",NA,"f","n","f","f","f","f","f","f","f","f","f","f","t","f","f","f",NA,"f","f",NA,"t",NA,NA,"won"
"f",NA,"f","f","f",NA,NA,"f","t","f","f","t","g",NA,"n","f",NA,"t","f","f","f","t","f","f","f","t","f","f","f","f","f","f","t","t",NA,NA,"nowin"
"t",NA,"f","f","f","f","f","f","f","f","f","f","l","f","n","f",NA,"t",NA,"f","f","f","f","t","f","t","f","f","f","f","t","t","f","t","f","n","nowin"
"f",NA,"f","f","f","t","f","t","t",NA,"f","f",NA,"f","n",NA,"f","t","f","f","f","f","f","f","f","t","f","f","f","f","f","f",NA,"t","t","n","nowin"
"f","f","f","f","f",NA,NA,"f","f",NA,"f","f",NA,"f","n","f","f","t",NA,"f","f","f","f","f","f","f","f","f","f","f","f",NA,"f","t",NA,"t","won"
"f","t","f","f",NA,NA,NA,"f","t","f","t","f","l",NA,"n","f","f","f","f","t","t","t","f","t","f","t","f","t","f","t","t","f","t","f","f","n","won"
"f","f","f","f","f","f","f","f",NA,"t","t","f","l","f","w","f","f","t",NA,"f","t","f","f","f","f","t","f",NA,"f",NA,"t","f","t","t","t","n","won"
"f","f","f","f","t","f","t","f",NA,NA,"f","f",NA,"f","n","f",NA,"f",NA,"f","f","f","f","f","f","f","f","f","f","f","f","f",NA,"t","t",NA,"won"
"f","f","f","f","f","f","f","f",NA,"f","f","f",NA,"f","n","f","f","f","f","f","f","f","f","t","f","t","f","t","f","t","f","f","t","f","t",NA,"nowin"
"t","f","f","f",NA,"f",NA,"f","f","f","t","f","g",NA,"n","f","f","t",NA,"f","f","f","f","t","f","t","f","f","f","f","f",NA,NA,"t",NA,"n","won"
"f","f","f","f","f","t",NA,"f","f","f","t","f","l",NA,"n","f",NA,"t","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","n","won"
"f",NA,"f","f","t","f","f","f","f",NA,"f","f","g","f","n",NA,"f","t","f","f","f","f","f","t","f","t","f","f","f","f","f","f","f","t","t",NA,"won"
"t",NA,"f","t","f",NA,NA,"t","t","t","t","f","l",NA,"b",NA,"f","t","f","f","f","f","f","t","f","t",NA,NA,"f","f","f","f","f","f",NA,"n","nowin"
"f",NA,"f","t","t","t","f","f","f","f","f","f",NA,"f","n","f",NA,"t",NA,"f","f","f","f","f","f","f","f","f","f","f","f","f",NA,"f","t",NA,"won"
"f","f","f","f","f","f","f","f","f","f","t","f",NA,"f","n","f",NA,"t",NA,"f","f","f","t","f","f","t","f",NA,"f",NA,"f",NA,"t","t","f","n","nowin"
"f","f","f","f",NA,"t","t","f",NA,"f","t","f",NA,NA,"w","f","f","t","f","f","f","f","f","f","f","t",NA,"f","f","f","f","f",NA,"t","f",NA,"won"
"f",NA,"f","f","t",NA,NA,"t",NA,NA,"f","f","g","f","n","f","f","t",NA,"f","f","f","f","f","f","t","f","f","f","f","f","f","f","f",NA,"n","nowin"
"f","f","f","f",NA,"f","f","f","f","f","f","f",NA,"f","n","f",NA,"t",NA,"f","f","f","f","f","f","f","f","f","f","f","f","f","t","t","t","n","nowin"
"f","f","f","f","f","t","t","f","t","f","t","f","l",NA,"w","f","f","t","f","t","f","t","f","f","f","t",NA,"f","f",NA,"f",NA,"f","t","f",NA,"won"
"f","f","f","t","t","t",NA,"f",NA,"f","f","f","g",NA,"n","f","f","t","f","f","f","f","f","f","f","t",NA,"f","f","f","f",NA,"f","f","t",NA,"won"
"f","f","f","f",NA,"f","f","f","t","f","t","f","g",NA,"n",NA,"f","t","f","f","f","t","f","t","f","t","f","f","f",NA,"f","f","f","t",NA,"n","won"
"f","f","f","f","f","f","f","f","f","t","t","f","l",NA,"b",NA,NA,"t","f","f","f","f","f","f","f","t","f","f","f",NA,"f",NA,"t","t","f",NA,"nowin"
"f","f","f","f",NA,"f","f","f","t",NA,"t","f","l","f","n","f","f","t","f","f","t","t","f","f","f","t","f",NA,"f","f","t",NA,"t","t","f",NA,"won"
"f","f","f","f",NA,NA,"f","f","t","f","f","f",NA,NA,"n",NA,NA,"t",NA,"f","t","t","f","f","f","t",NA,NA,"f","f","f","f",NA,"t",NA,"n","won"
"t","f","f","f","t","f","t","f","f","f","t","f","l",NA,"n","f",NA,"t","f","t","f","f","f","t","f","t","f","f","f","f","f",NA,"f","t",NA,"n","won"
"f","f","f","f","t",NA,"f","f",NA,NA,"f","f","g","f","n","f","f","t","f","f","f","t","f","f","f","t","f","f","f","f","f","f","f","t","t","n","won"
"f","f","f","f","f",NA,NA,"f",NA,"f","t","f","g","f","n","f","t","t",NA,"f","f","f","t","f","f","t",NA,"f","f","f","f","f","f","t",NA,NA,"won"
"f","f","f","t","t",NA,NA,"f","f","t","f","f",NA,"f","n","f","f","t",NA,"f","t","f","f","f","f","f","f","f","f","f","f","f","f","t","t","t","won"
"f","f","f","f",NA,NA,"f","f","f","f","t","f","l","f","w","f","f","t","f","t","f","f","f","f","f","t","f",NA,"f","f","t","f",NA,"t","f","n","won"
"f","f","f","f","f",NA,NA,"f","f","t","f","f","g","f","n","f","f","t","f","f","f","f","f","t","f","f",NA,"f","f","f","f","f",NA,"t","t","n","nowin"
"t","f","f","f","t","t","t","t",NA,"f","t","f","l","f","w","f","f","t","f","f","f","f","f","f","f","t",NA,NA,"f","f","f","f","f","t",NA,"n","won"
"f",NA,"f","t","f",NA,"f","f","f","f","t","f","l","f","n","f","f","t","f","f","f","f","f","f","f","t",NA,"f","f","f","t","f","f","f","t","n","won"
"f","f","f","f",NA,"t","f","f",NA,"t","f","f",NA,"f","n","f",NA,"t","f","f","f","f","f","t","f","f","f","f","f",NA,"f","f",NA,"f",NA,"t","nowin"
"f","f","f","f","t",NA,"f","f","f","f","f","f","l",NA,"n","f","f","f","f","f","f","f","f","t","f","t",NA,"f","f",NA,"f",NA,"t","f","t",NA,"nowin"
"f","f","f","f","f","f","f","f",NA,NA,"f","f",NA,"f","n","f","t","t",NA,"f","f","f","t","f","f","t",NA,"f","f","f","f",NA,NA,"t","t","n","nowin"
"f",NA,"f","f","f",NA,NA,"f",NA,"f","t","f","l","f","w",NA,"f","f","t","f","f","f","f","t","f","t","f","f","f","t","t","f","f","f","t","n","won"
"f","f","f","f","f","t",NA,"f","f",NA,"t","f",NA,"f","n",NA,"f","t",NA,"f","f","f","f","f","f","t","f","f","f","f","t",NA,"t","t","f","n","nowin"
"f","f","f","f",NA,"f","f","f","t","f","t","f","l","f","n","f",NA,"t","f","f","f","t","f","t","f","t","f","f","f",NA,"t",NA,NA,"t",NA,"n","won"
"f","f","f","t","t","t","f","f",NA,"f","f","f","l","f","n","f","f","f",NA,"f","f","f","f","f","f","f","f","t","f",NA,"f","f","t","f",NA,NA,"nowin"
"t","f","f","f",NA,NA,"t","t","t",NA,"t","f","l","f","w",NA,"f","f","f","f","f","f","f","f","f","t","f","f","f",NA,"f","f","f","f",NA,"n","nowin"
"f",NA,"f","f","f","t","f","f","f","t","t","f","l",NA,"w","f","f","t",NA,"t","t","f","f","t","f","t","f","f","f","f","t",NA,"t","f","f","n","won"
"f","f","f","f","f","f",NA,"f",NA,"f","f","f",NA,NA,"n","f",NA,"t","f","f","f","f","t","f","f","f","f","f","f","f","f","f","t","t","t","n","nowin"
"f","f","f","f","t","t","f","t","t","t","t","f","l","f","n","f","f","t",NA,"f","f","f","f","f","f","t",NA,"f","f","f","f","f","f","t","t","n","nowin"
"f","f","f","f",NA,"f","f","f",NA,"f","f","f",NA,NA,"n",NA,"f","t","f","f","t","f","f","t","f","f","f","f","f",NA,"f","f","f","t","t","n","won"
"t","f","f","f","f",NA,"t","f","f","f","f","t","g",NA,"n","f",NA,"t","f","f","f","f","t","f","f","t",NA,"f","t","f","f","t",NA,"t","f","n","nowin"
"f","t","f","f","f",NA,"f","f",NA,"t","t","f","l","f","w",NA,NA,"f","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f",NA,"n","nowin"
"f",NA,"f","t","t","t",NA,"f","f","f","f","f",NA,NA,"n","f","f","f",NA,"f","f","f","f","f","f","t","f",NA,"f","f","f","f","f","t","t","n","won"
"f","f","f","f","f",NA,"f","f",NA,"f","f","f","l",NA,"n","f","f","f","f","f","t","f","f","t","f","t","f",NA,"f","f","f",NA,NA,"f","t","t","won"
"f","f","f","f","t","f",NA,"f","f",NA,"f","f","l","f","n","f","f","f",NA,"f","t","f","f","f","f","f","f","f","f","f","f",NA,"f","f",NA,NA,"won"
"f","f","f","f","t","t",NA,"f","f","t","t","f","l","f","n","f",NA,"t","f","t","f","f","f","f","f","t","f",NA,"f","f","f","f","t","t",NA,"n","nowin"
"f","f","f","f","f","t","f","f","f","t","f","f","l",NA,"n","f","f","t",NA,"f","t","f","f","t","f","f",NA,"f","f",NA,"f","f",NA,"t",NA,"t","won"
"f",NA,"f","t","f",NA,"t","t","t",NA,"t","f","l","f","n","f","f","f","f","f","f","f","f","t","f","t","f","f","f",NA,"f","f","t","t",NA,"n","nowin"
"f","t","f","f","f","f","f","f",NA,"t","f","f","l","f","n","f","f","f","f","t","f","f","f","t","f","t","f","f","f","f","t","t",NA,"t",NA,"n","nowin"
"f",NA,"f","f","f","t","f","f","t",NA,"f","f","l","f","n","t","f","f","f","f","t","t","f","f","f","f","f",NA,"f","t","f",NA,"t","f","t","t","won"
"f",NA,"f","f","t","f",NA,"t",NA,"f","t","f",NA,"f","n",NA,"f","t","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","f","n","nowin"
"f",NA,"f","f","f",NA,"f","f","f","f","f","f","l","f","n","f","f","f",NA,"f","f","f","f","f","f","f","f",NA,"f",NA,"f",NA,"t","t","t","t","won"
"f",NA,"f","f",NA,"f",NA,"f","t","f","f","f",NA,NA,"n",NA,"f","f","f","f","f","t","f","f","f","f",NA,NA,"f","f","f",NA,"t","t",NA,"t","nowin"
"f","f","f","f",NA,NA,NA,"f","f","f","f","f","l","f","n","f","f","f","f","f","f","f","f","f","f","f",NA,"f","f","f","f","f","f","t",NA,NA,"won"
"f","f","f","f",NA,"f",NA,"f","f",NA,"f","f",NA,"f","n",NA,"f","t","f","f","f","f","f","t","f","f","f",NA,"f","f","f","f","t","t","t","t","nowin"
"f","f","f","f","t","f","t","t","t","f","f","f","l","f","n","f","f","f","f","f","f","f","f","t","f","t",NA,NA,"f",NA,"f","f","f","t","t","n","won"
"f","f","f","f","f","f","f","f","f",NA,"f","f","g","f","n","f",NA,"t","f","f","f","f","t","f","f","f","f","f","f",NA,"f","f","f","t","t","n","nowin"
"f",NA,"f","f",NA,"f","f","f","t","f","f","f",NA,"f","n","f","f","t","f","f","f","t","f","t","f","f",NA,"t","f","f","f",NA,"t","t",NA,"t","nowin"
"f","f","f","f","f","t","f","f","t","f","f","f",NA,NA,"n","f","f","t","f","f","f","t","f","t","f","t",NA,"f","f","f","f","f",NA,"t","t","n","nowin"
"f","t","f","f","f","t","f","f","f","f","f","f",NA,"f","n","f","f","f","f","f","f","f","f","t","f","t","f",NA,"f","f","f","f","f","f","t","t","won"
"f","f","f","f",NA,NA,"f","f","f","f","t","t",NA,NA,"n","f","f","f","f","t","f","f","t","f","f","t",NA,"f","f","f","t","f",NA,"f","f",NA,"nowin"
"f","f","f","f",NA,NA,NA,"f",NA,NA,"f","f","l","f","n","f","f","t","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f",NA,NA,"nowin"
"f",NA,"f","f","t","t","t","f","f","f","f","f",NA,NA,"n","f","f","f","f","f","t","f","f","t","f","f","f","f","f",NA,"f","f","f","f","t","t","won"
"f","f","f","f",NA,NA,"f","f","f","t","t","f","l","f","b",NA,"f","t","f","f","f","f","f","t","f","t","f","f","f","f","f","f",NA,"t","t","n","nowin"
"f","f","f","f","t",NA,NA,"t","t",NA,"f","f","l","f","n","f","f","t","f","f","f","f","f","f","f","t","f","f","f",NA,"f","f","f","t","t",NA,"nowin"
"f","f","f","f","f",NA,"f","f",NA,NA,"f","t","l","f","n","f","f","t","f","f","f","f","f","f","f","t",NA,NA,"f",NA,"f","f","t","t",NA,"n","nowin"
"t","f","f","t","t",NA,"t","t",NA,"f","t","f","g","f","n","f","f","t",NA,"f","f","f","f","t","f","t","f","t","f",NA,"f","f",NA,"f","t","n","nowin"
"f","f","f","f",NA,NA,NA,"f","f","f","f","f","l",NA,"n","f","f","f","f","f","f","f","f","t","f","t","f","f","f","f","f",NA,NA,"t","t","n","won"
"f","f","f","f","f","f",NA,"f","f",NA,"f","t","g","f","n","f","f","t","f","f","f","f","f","t","f","f",NA,"f","f","f","f","f",NA,"t","t",NA,"won"
"f","f","f","f","f","f","f","f",NA,"f","f","f","g","f","n","f","f","t","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","t","t",NA,"won"
"t","f","f","t","t",NA,NA,"t","t","f","t","f","l","f","n","f",NA,"t",NA,"f","f","f","f","t","f","t","f","t","f","f","f","f","t","f","t","n","nowin"
"f","f","f","f",NA,"f",NA,"f","f","f","f","t","g","f","n","f",NA,"t","f","f","f","f","f","f","f","t","f","f","f","f","f","f",NA,"t",NA,"n","won"
"f",NA,"f","f","f","t","f","f","t","f","t","f","l",NA,"w",NA,"f","t","f","t","f","t","f","f","f","t","f",NA,"f","f","t","f","f","f","t","n","won"
"f",NA,"f","f","t",NA,"t","t",NA,NA,"f","f","l","f","n",NA,"f","f","f","f","f","f","f","t","f","f",NA,NA,"f",NA,"f","f","t","f",NA,NA,"nowin"
"f","f","f","f",NA,"f",NA,"f",NA,"f","t","f","l","f","n",NA,"f","t","f","t","f","t","f","f","f","t","f","f","f",NA,"t","f",NA,"t","f","n","nowin"
"f","f","f","f",NA,"f",NA,"f","f",NA,"f","f","l",NA,"n","f","f","t","f","f","t","f","f","t","f","t","f",NA,"f","f","f","f","f","t",NA,"t","won"
"f",NA,"f","f",NA,"f",NA,"f",NA,"f","f","t",NA,"f","n",NA,"f","t","f","f","f","f","f","t","f","f",NA,"f","f",NA,"f","f",NA,"t",NA,"n","won"
"f","f","f","f","f","t","t","t",NA,"f","t","f",NA,"f","w","f","f","t","f","t","f","t","f","f","f","t",NA,"f","f","f","f","f",NA,"t","t","n","won"
"f",NA,"f","t","t","t","f","f","f",NA,"f","f","g","f","n",NA,"f","t","f","f","f","f","f","f","f","f",NA,"f","f","f","f",NA,"t","f","t","t","nowin"
"f","f","f","f","f",NA,NA,"f","f","t","f","f",NA,"f","n",NA,NA,"t","f","f","t","f","f","f","f","t",NA,"f","f","f","f","f","f","t","t","t","won"
"t","f","f","f","f","f","t","t","t",NA,"t","f","g","f","n","f",NA,"t",NA,"f","f","f","f","t","f","t","f",NA,"f","f","f","f","f","t","t","n","won"
